Question,Equation,Answer,comment,Question2,Numbers,Names,Equation2
"number0명의 학생이 한 줄로 서 있습니다. name0이는 number1째, name1는 number2째에 서 있다면 name2이와 name3 사이에는 몇 명이 서 있을까요?",number2 - number1 - 1,1,"1: -번째 키워드 포함, 1을 항상 빼줌","number0명의 학생이 한 줄로 서 있습니다. name0이는 number1째, name1는 number2째에 서 있다면 name2이와 name3 사이에는 몇 명이 서 있을까요?",9 4 6 ,호석 은지 ,number2 - number1 - 1
"name0이는 바둑돌 number0개를 가지고 있고, name1이는 바둑돌 number1개를 가지고 있습니다. name2이는 name3이보다는 적고, name4이보다는 많은 바둑돌을 가지고 있습니다. name5이가 가지고 있는 바둑돌은 몇 개일까요?",( number0 + number1 ) // 2,4,1: 2를 항상 나눠줘야함,"name0이는 바둑돌 number0개를 가지고 있고, name1이는 바둑돌 number1개를 가지고 있습니다. name2이는 name3이보다는 적고, name4이보다는 많은 바둑돌을 가지고 있습니다. name5이가 가지고 있는 바둑돌은 몇 개일까요?",5 3 ,민영 태형 석진 ,( number0 + number1 ) // 2
"학생들이 놀이기구를 타려고 한 줄로 서 있는데 name0는 앞에서 number0째, 뒤에서 number1째에 있습니다. 줄을 선 학생은 모두 몇명인가요?",number0 + number1 - 1,8,"1: -번째 키워드 포함, 1을 항상 빼줌","학생들이 놀이기구를 타려고 한 줄로 서 있는데 name0는 앞에서 number0째, 뒤에서 number1째에 있습니다. 줄을 선 학생은 모두 몇명인가요?",2 7 ,은지 ,number0 + number1 - 1
name0이는 화분을 number0개 가지고 있었는데 number1개를 선물로 받았습니다. name1이가 가지고 있는 화분은 모두 몇 개 일까요?,number0 + number1,6,0,name0이는 화분을 number0개 가지고 있었는데 number1개를 선물로 받았습니다. name1이가 가지고 있는 화분은 모두 몇 개 일까요?,5 1 ,민영 ,number0 + number1
수족관에 수컷 고래는 없고 암컷 고래만 number0마리 있습니다. 수족관에 있는 고래는 모두 몇 마리일까요?,number0,3,0,수족관에 수컷 고래는 없고 암컷 고래만 number0마리 있습니다. 수족관에 있는 고래는 모두 몇 마리일까요?,3 ,,number0
"name0는 지우개를 어제 number0개, 오늘 number1개 모았습니다. name1가 모은 지우개는 모두 몇 개일까요?",number0 + number1,8,0,"name0는 지우개를 어제 number0개, 오늘 number1개 모았습니다. name1가 모은 지우개는 모두 몇 개일까요?",2 6 ,윤기 ,number0 + number1
정류장에 name0 number0명과 name1 number1명이 있습니다. name2은 name3보다 몇 명 더 많을까요?,number0 - number1,2,0,정류장에 name0 number0명과 name1 number1명이 있습니다. name2은 name3보다 몇 명 더 많을까요?,6 4 ,남학생 여학생 ,number0 - number1
개구리 number0마리가 연못가에 앉아 있었는데 그중에서 number1마리가 도망갔습니다. 연못가에 남은 개구리는 몇 마리일까요?,number1 - number1,0,0,개구리 number0마리가 연못가에 앉아 있었는데 그중에서 number1마리가 도망갔습니다. 연못가에 남은 개구리는 몇 마리일까요?,5 5 ,,number1 - number1
name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. name1이는 동생보다 몇 살 더 많나요?,number0 - number1,1,0,name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. name1이는 동생보다 몇 살 더 많나요?,8 7 ,지민 ,number0 - number1
합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수를 구하세요,( number0 + number1 ) / number3,5,0,합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수를 구하세요,6 4 2 2 ,,( number0 + number1 ) / number3
합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요,( number0 - number1 ) / number3,3,0,합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요,7 1 2 2 ,,( number0 - number1 ) / number3
합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수보다 number4 작은 수를 구하세요,( number0 + number1 ) / number3 - number4,7,"생각, 2는 두수",합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수보다 number4 작은 수를 구하세요,9 3 2 2 1 ,,( number0 + number1 ) / number3 - number4
"name0이네 조엔 남아가 number0명, 여아가 number1명입니다. name1이네 조에 있는 아이는 모두 몇 명일까요?",number0 + number1,9,0,"name0이네 조엔 남아가 number0명, 여아가 number1명입니다. name1이네 조에 있는 아이는 모두 몇 명일까요?",6 3 ,석진 ,number0 + number1
name0이는 딱지 number0개를 가지고 있었습니다. 이모에게 number1개를 주고 삼촌에게 number2개를 선물로 받았습니다. 지금 name1이가 가지고 있는 딱지는 몇 개일까요?,number0 - number1 + number2,8,0,name0이는 딱지 number0개를 가지고 있었습니다. 이모에게 number1개를 주고 삼촌에게 number2개를 선물로 받았습니다. 지금 name1이가 가지고 있는 딱지는 몇 개일까요?,4 2 6 ,태형 ,number0 - number1 + number2
