Question,Equation,answer
"9로 나누어도 4가 남고, 15로 나누어도 4가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + 4 for i in range( 15 , 15 * 9 + 1 ) if i % 15 == 0 and i % 9 == 0 ] )",49
"5로 나누어도 3이 남고, 13으로 나누어도 3이 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오. ","min( [ i + 3 for i in range( 13 , 13 * 5 + 1 ) if i % 15 == 0 and i % 9 == 0 ] )",68
"10으로 나누어도 4가 남고, 15로 나누어도 4가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오. ","min( [ i + 4 for i in range( 10 , 10 * 15 + 1 ) if i % 15 == 0 and i % 10 == 0 ] )",34
"7로 나누어도 2가 남고, 9로 나누어도 2가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + 2 for i in range( 7 , 7 * 9 + 1 ) if i % 7 == 0 and i % 9 == 0 ] )",65
"5로 나누어도 2가 남고, 9로 나누어도 2가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오. ","min( [ i + 2 for i in range( 5 , 5 * 9 + 1 ) if i % 5 == 0 and i % 9 == 0 ] )",47
파이 한 개를 만드는 데 밀가루가 200g필요합니다. 밀가루 2.4kg으로는 똑같은 파이를 몇 개 만들 수 있습니까?,( 2.4 * 1000 ) / 200,12
케이크 두 개를 만드는데 밀가루가 400g 필요합니다. 밀가루 10kg으로는 케이트를 몇 개 만들 수 있나요?,( 10 * 1000 ) / 400 * 2,50
빵 한 개를 만드는 데 우유가 3L 필요합니다. 빵 10개를 만드는 데에는 우유가 몇 L 필요한가요?,3 * 10,30
빙수 5그릇을 만드는데 얼음이 10kg 필요합니다. 얼음 30kg으로는 빙수를 몇 그릇 만들 수 있습니까?,30 / 10 * 5,15
책상 한 개를 만드는 데 나무가 100kg 필요합니다. 책상 7개를 만드는데 나무는 몇 kg 필요합니까?,100 * 7,700
"굵기가 일정한 통나무를 한 번 자르는 데 4분이 걸린다고 합니다. 이 통나무를 8도막으로 자르는 데 걸리는 시간은 몇 분입니까? (단, 쉬는 시간은 생각하지 않습니다.)",4 * 8,32
"크기가 일정한 케이크를 한 번 자르는 데 4분이 걸린다고 합니다. 이 케이크를 8도막으로 자르는 데 걸리는 시간은 몇 분입니까? (단, 쉬는 시간은 생각하지 않습니다.)",4 * 8,32
"동일한 굵기의 통나무 8도막이 있습니다. 통나무 1개를 자르는데 4분이 걸렸을 때, 총 걸린 시간은 몇 분입니까?",4 * 8,32
"마트에 포도 8송이가 있습니다. 1송이를 배달하는데 10분이 걸릴 때, 8송이를 배달하는데 얼마나 걸리나요?",10 * 8,80
계란이 50개 있습니다. 10개의 계란을 사용하는데 10분이 걸릴 때 50개의 계란을 사용하는데 얼마나 걸리나요?,( 10 / 10 ) * 50,50
"굵기가 일정한 통나무를 한 번 자르는 데 7분이 걸린다고 합니다. 이 통나무를 8도막으로 자르는 데 걸리는 시간은 몇 분입니까? (단, 쉬는 시간은 생각하지 않습니다.)",7 * 8,56
한 변의 길이가 7m인 정오각형 모양의 울타리가 있습니다. 이 울타리의 둘레는 몇 m입니까?,7 * 5,35
한 변의 길이가 10m인 정육각형 모양의 울타리가 있습니다. 이 울타리의 둘레는 몇 m입니까?,10 * 6,60
"울타리의 둘레가 100m입니다. 울타리의 모양이 정십각형이라 할 때, 울타리의 한 변의 길이는 몇 m입니까?",100 / 10,10
한 변의 길이가 12m인 정사각형 모양의 울타리가 있습니다. 이 울타리의 둘레는 몇 m입니까?,12 * 4,48
"울타리의 둘레가 84m입니다. 울타리의 모양이 정칠각형이라 할 때, 울타리의 한 변의 길이는 몇 m입니까?",84 / 7,12
학생 57명에게 귤을 1개씩 나누어 주려고 합니다. 과일 가게에서 귤을 10개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( 57 / 10 ),6
학생 32명에게 귤을 2개씩 나누어 주려고 합니다. 과일 가게에서 귤을 10개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,"math.ceil( 32 * 2 / 10 ) ",7
학생 32명에게 귤을 1개씩 나누어 주려고 합니다. 과일 가게에서 귤을 10개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( 32 / 10 ),4
학생 100명에게 귤을 3개씩 나누어 주려고 합니다. 과일 가게에서 귤을 15개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( 100 * 3  / 15 ),20
학생 84명에게 귤을 1개씩 나누어 주려고 합니다. 과일 가게에서 귤을 12개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( 84 / 12 ),7
1년 동안 어느 축구장에 입장한 관람객의 수가 11683명이라고 합니다. 입장한 관람객의 수를 반올림하여 천의 자리까지 나타내면 몇 명입니까?,round( 11683 / 1000 ) * 1000,12000
1년 동안 어느 축구장에 입장한 관람객의 수가 1111명이라고 합니다. 입장한 관람객의 수를 반올림하여 백의 자리까지 나타내면 몇 명입니까?,round( 1111 / 100 ) * 100,1100
1년 동안 어느 축구장에 입장한 관람객의 수가 5674명이라고 합니다. 입장한 관람객의 수를 반올림하여 천의 자리까지 나타내면 몇 명입니까?,round( 5674 / 1000 ) * 1000,6000
1년 동안 어느 축구장에 입장한 관람객의 수가 1234명이라고 합니다. 입장한 관람객의 수를 반올림하여 십의 자리까지 나타내면 몇 명입니까?,round( 1234 / 10 ) * 10,1230
1년 동안 어느 축구장에 입장한 관람객의 수가 9876명이라고 합니다. 입장한 관람객의 수를 반올림하여 천의 자리까지 나타내면 몇 명입니까?,round( 9876 / 1000 ) * 1000,10000
8 초과 13 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 + 1 , 13 + 1 ) ] )",55
10 초과 19 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 10 + 1 , 19 + 1 ) ] )",135
12 초과 15 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 12 + 1 , 15 + 1 ) ] )",42
4 초과 13 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 4 + 1 , 13 + 1 ) ] )",81
1 초과 11 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 1 + 1 , 11 + 1 ) ] )",65
3 이상 20 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 3 , 20 + 1 ) ] )",63
4 이상 20 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 4 , 20 + 1 ) ] )",204
12 이상 41 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 12 , 41 + 1 ) ] )",795
64 이상 86 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 64 , 86 + 1 ) ] )",1725
1 이상 73 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 1 , 73 + 1 ) ] )",2701
43 초과 98 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 43 + 1 , 98 ) ] )",3807
42 초과 78 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 42 + 1 , 78 ) ] )",2100
8 초과 13 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 + 1 , 13 ) ] )",42
64 초과 70 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 64 + 1 , 70 ) ] )",335
13 초과 15 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 13 + 1 , 15 ) ] )",14
1 이상 13 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 1 , 13 ) ] )",50
8 이상 11 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 , 11 ) ] )",27
5 이상 13 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 5 , 13 ) ] )",68
18 이상 23 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 18 , 23 ) ] )",100
28 이상 33 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 28 , 33 ) ] )",150
버림하여 십의 자리까지 나타내면 510이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 510 , 510 + 10 ) ] ) - 510",9
버림하여 백의 자리까지 나타내면 700이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 700 , 700 + 100 ) ] ) - 700",99
버림하여 십의 자리까지 나타내면 120이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 120 , 120 + 10 ) ] ) - 120",9
버림하여 십의 자리까지 나타내면 630이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 630 , 630 + 10 ) ] ) - 630",9
버림하여 백의 자리까지 나타내면 100이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 100 , 100 + 100 ) ] ) - 100",99
다음 수 'AB95'를 올림하여 십의 자리까지 나타내면 5000이 됩니다. A와 B의 합을 구하시오.,"[ i + j for i in range( 1 , 10 ) for j in range( 0 , 10 ) if math.ceil( ( 1000 * i + 100 * j + 95 ) / 10 ) * 10 == 5000 ] [0]",13
다음 수 'AB91'를 올림하여 십의 자리까지 나타내면 5000이 됩니다. A와 B의 합을 구하시오.,"[ i + j for i in range( 1 , 10 ) for j in range( 0 , 10 ) if math.ceil( ( 1000 * i + 100 * j + 91 ) / 10 ) * 10 == 5000 ] [0]",13
다음 수 'A995'를 올림하여 백의 자리까지 나타내면 5000이 됩니다. A의 값을 구하시오.,"[ i for i in range( 1 , 10 ) if math.ceil( ( 1000 * i + 995 ) / 100 ) * 100 == 5000 ] [0]",4
"자연수 A가 있습니다. '7 * 2.3 < A < 0.9 * 24'일 때, 가능한 A의 개수를 구하시오.","len( [ i for i in range( math.floor( 7 * 2.3 ) , math.ceil( 0.9 * 24 ) ) ] )",6
