Question	Equation	Question2	Equation2	Numbers	Names	answer	comment
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?	3	수족관에 수컷 돌고래는 없고 암컷 돌고래만 number0마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?	number0	3		3	0
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 윤기가 모은 딱지는 모두 몇 장일까요?"	2 + 6	"name0는 딱지를 어제 number0장, 오늘 number1장 모았습니다. name1가 모은 딱지는 모두 몇 장일까요?"	number0 + number1	2 6 	윤기 	8	0
공원에 남학생 6명과 여학생 4명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?	44351	공원에 name0 number0명과 name1 number1명이 있습니다. name2은 name3보다 몇 명 더 많을까요?	number0 - number1	6 4 	남학생 여학생 	2	0
참새 5마리가 나뭇가지에 앉아 있었는데 그중에서 5마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?	44321	참새 number0마리가 나뭇가지에 앉아 있었는데 그중에서 number1마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?	number1 - number1	5 5 		0	0
지민이의 나이는 8살이고 동생의 나이는 7살 입니다. 지민이는 동생보다 몇 살 더 많나요?	44415	name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. name1이는 동생보다 몇 살 더 많나요?	number0 - number1	8 7 	지민 	1	0
합이 6이고 차가 4인 두 수가 있습니다. 두 수 중에서 더 큰 수를 구하세요	( 6 + 4 ) / 2	합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수를 구하세요	( number0 + number1 ) / number3	6 4 2 2 		5	0
합이 7이고 차가 1인 두 수가 있습니다. 두 수 중에서 더 작은 수를 구하세요	( 7 - 1 ) / 2	합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요	( number0 - number1 ) / number3	7 1 2 2 		3	0
합이 9이고 차가 3인 두 수가 있습니다. 두 수 중에서 더 큰 수보다 1 큰 수를 구하세요	( 9 + 3 ) / 2 + 1	합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 큰 수보다 number4 큰 수를 구하세요	( number0 + number1 ) / number3 + number4	9 3 2 2 1 		7	"생각, 2는 두수"
"석진이네 모둠은 남자 어린이가 6명, 여자 어린이가 3명입니다. 석진이네 모둠 어린이는 모두 몇 명일까요?"	6 + 3	"name0이네 모둠은 남자 어린이가 number0명, 여자 어린이가 number1명입니다. name1이네 모둠 어린이는 모두 몇 명일까요?"	number0 + number1	6 3 	석진 	9	0
태형이는 구슬 4개를 가지고 있었습니다. 누나에게 2개를 주고 친구에게 6개를 선물로 받았습니다. 지금 태형이가 가지고 있는 구슬은 몇 개일까요?	4 - 2 + 6	name0이는 구슬 number0개를 가지고 있었습니다. 누나에게 number1개를 주고 친구에게 number2개를 선물로 받았습니다. 지금 name1이가 가지고 있는 구슬은 몇 개일까요?	number0 - number1 + number2	4 2 6 	태형 	8	0
남준이는 색종이를 9장 가지고 있었습니다. 그중에서 5장을 형에게 주었습니다. 남준이에게 남은 색종이는 몇 장일까요?	44444	name0이는 색종이를 number0장 가지고 있었습니다. 그중에서 number1장을 형에게 주었습니다. name1이에게 남은 색종이는 몇 장일까요?	number0 - number1	9 5 	남준 	4	0
합이 8이고 차가 2인 두 수가 있습니다. 두 수 중에서 더 작은 수를 구하세요	( 8 - 2 ) / 2	합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요	( number0 - number3 ) / number3	8 2 2 2 		3	0
"귤을 정국이는 2개 먹었고, 삼촌은 정국이보다 5개 더 많이 먹었습니다. 삼촌이 먹은 귤은 몇 개인가요?"	2 + 5	"name0을 name1이는 number0개 먹었고, 삼촌은 name2이보다 number1개 더 많이 먹었습니다. 삼촌이 먹은 name3은 몇 개인가요?"	number0 + number1	2 5 	정국 귤 	7	0
"석진이는 유나보다 더 무겁고, 남준이보다 더 가볍습니다. 석진, 유나, 남준이 중에서 가장 무거운 사람의 이름을 써 보세요."	'남준'	"name0이는 name1보다 더 name2겁고, name3이보다 더 가볍습니다. name4, name5, name6이 중에서 가장 name7거운 사람의 이름을 써 보세요."	'name1'		유나 남준 석진 무 	남준	1
민영이는 초콜릿 17개를 친구와 나누어 가지려고 합니다. 민영이가 친구보다 초콜릿을 1개 더 적게 가지려면 몇 개를 가져야 할까요?	17 // 2	name0이는 초콜릿 number0개를 친구와 나누어 가지려고 합니다. name1이가 친구보다 초콜릿을 number1개 더 적게 가지려면 몇 개를 가져야 할까요?	number0 // 2	17 1 	민영 	8	0
호석이는 구슬 13개를 동생과 나누어 가지려고 합니다. 호석이가 동생보다 구슬을 1개 더 많이 가지려면 몇 개를 가져야 할까요?	13 // 2 + 1	name0이는 구슬 number0개를 동생과 나누어 가지려고 합니다. name1이가 동생보다 구슬을 number1개 더 많이 가지려면 몇 개를 가져야 할까요?	number0 // 2 + number1	13 1 	호석 	7	0
"위인전을 석진이는 27쪽 읽고, 정국이는 35쪽을 읽었습니다. 위인전을 더 많이 읽은 사람은 누구일까요?"	'석진' if 27 > 35 else '정국'	"위인전을 name0이는 number0쪽 읽고, name1이는 number1쪽을 읽었습니다. 위인전을 더 많이 읽은 사람은 누구일까요?"	'name1' if number0 > number1 else 'name0'	27 35 	정국 석진 	정국	0
"고모의 나이는 36살이고, 이모의 나이는 34살 입니다. 나이가 더 적은 사람은 누구일까요?"	'고모' if 36 < 34 else '이모'	"고모의 나이는 number0살이고, 이모의 나이는 number1살 입니다. 나이가 더 적은 사람은 누구일까요?"	'고모' if number0 < number1 else '이모'	36 34 		이모	0
"남준이네 가족은 주말농장에서 사과 35개, 배 20개, 감 32개를 수확하였습니다. 가장 많이 수확된 과일은 무엇일까요?"	'사과' if 35 > 20 and 35 > 32 else '배' if 20 > 35 and 20 > 32 else '감'	"name0이네 가족은 주말농장에서 name1 number0개, name2 number1개, name3 number2개를 수확하였습니다. 가장 많이 수확된 과일은 name4엇일까요?"	'name1' if number0 > number1 and number0 > number2 else 'name5' if number1 > number0 and number1 > number2 else 'name3'	35 20 32 	남준 사과 배 감 무 배 	사과	0
"구슬을 석진이는 스물일곱 개, 호석이는 스물아홉 개, 은지는 스물두 개 가지고 있습니다. 구슬을 가장 적게 가지고 있는 사람은 누구 일까요?"	'석진' if 27 < 29 and 27 < 22 else '호석' if 29 < 27 and 29 < 22 else '은지'	"구슬을 name0이는 스물number0개, name1이는 스물number1개, name2는 스물number2개 가지고 있습니다. 구슬을 가장 적게 가지고 있는 사람은 누구 일까요?"	'name1' if 27 < 29 and 27 < 22 else 'name0' if 29 < 27 and 29 < 22 else 'name2'	7 9 2 	호석 석진 은지 	은지	1
귤이 10개씩 1묶음과 낱개로 5개 있습니다. 귤은 모두 몇 개인가요?	10 * 1 + 5	name0이 number0개씩 number1묶음과 낱개로 number2개 있습니다. name1은 모두 몇 개인가요?	number0 * number1 + number2	10 1 5 	귤 	15	0
