Question,Equation,answer
색종이 89장을 학생 82명에게 똑같이 나누어주려고 합니다. 한 학생에게 최대 몇 장씩 줄 수 있는지 차례대로 쓰시오.,89 // 82,1
"색종이 89장을 학생 82명에게 모두 나누어주려고 합니다. 색종이를 못 받은 학생이 없다고 할 때, 한 학생에게 최대 몇 장씩 줄 수 있는지 쓰시오.",89 // 82 + 89 % 82,8
색종이 89장을 학생들에게 4장씩 나누어 주려고 합니다. 최대 몇 명에게 나누어줄 수 있는지 쓰시오.,89 // 4,22
"학생들에게 종이를 4장씩 나누어 주려고 합니다. 색종이가 89장이 있다고 할 때, 최대 몇 명에게 나누어 줄 수 있는지 쓰시오",89 // 4,22
"학생 82명에게 똑같이 종이를 나누어 주려고 합니다. 색종이를 89장 가지고 있다고 할 때, 한 학생에게 최대 몇 장을 줄 수 있는지 쓰시오.",89 // 82,1
우표 98장을 봉투 한 개에 97장 씩 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 97,1
우표 98장을 봉투 두 개에 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 2,0
"우표를 봉투 한 개에 97장씩 똑같이 넣으려고 한다. 우표가 98장이 있을 때, 우표는 몇 장 남는지 쓰시오.",98 % 97,1
"봉투 두 개에 우표를 똑같이 넣으려고 한다. 우표가 98장이 있을 때, 몇 장 남는지 쓰시오.",98 % 2,0
"우표가 98장이 있다. 한 봉투에 4장씩 넣으려고 할 때, 최대 몇 장의 봉투에 넣을 수 있는지 쓰시오",98 // 4,24
83분에 82㎞를 달리는 오토바이와 79분에 64km를 달리는 자전거가 있습니다. 42분 동안 같은 속도로 달렸다면 오토바이는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
83분에 82㎞를 달리는 오토바이와 79분에 64km를 달리는 자전거가 있습니다. 42분 동안 같은 속도로 달렸다면 자전거는 오토바이보다 몇㎞ 덜 가는 지를 쓰시오.,( 64 / 79 - 82 / 83 ) * 42 * (-1),7.47
"83분에 82㎞를 달리는 오토바이가 있습니다. 자전거는 79분에 64km를 달린다고 할 때, 42분 동안 같은 속도로 달린다면 자전거는 오토바이보다 몇㎞ 덜 가는 지를 쓰시오.",( 64 / 79 - 82 / 83 ) * 42 * (-1),7.47
오토바이는 83분에 82㎞를 달립니다. 42분 동안 같은 속도로 달렸다면 오토바이는 79분에 64km를 달리는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
자전거는 79분에 64km를 달리고 오토바이는 83분에 82㎞를 달립니다. 42분 동안 같은 속도로 달렸다면 오토바이는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
