Question,Equation,answer
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,3
수족관에 암컷 돌고래는 없고 수컷 돌고래만 3마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,3
수족관에 돌고래가 3마리 있습니다. 이 중 암컷 돌고래는 3마리 입니다. 수컷 돌고래는 몇 마리 인가요?,3 - 3,0
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 암컷 돌고래와 수컷 돌고래 중 어떤 것이 더 많나요?,'암컷 돌고래' if 3 > 0 else '수컷 돌고래',암컷 돌고래
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 그 중 1마리가 바다로 방사되었습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,2
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 윤기가 모은 딱지는 모두 몇 장일까요?",2 + 6,8
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 남준이는 딱지가 4개 있습니다. 윤기가 모은 딱지는 모두 몇 장일까요?",2 + 6,8
윤기는 딱지를 어제 6장을 모았고 오늘 2장을 잃었습니다. 윤기가 모은 딱지는 모두 몇 장일까요?,6 - 2,4
윤기는 딱지를 어제 2장 모았습니다. 오늘 6장 모았다면 윤기가 모은 딱지는 모두 몇 장일까요?,2 + 6,8
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 윤기가 어제 모은 딱지는 모두 몇 장일까요?",2,2
공원에 남학생 6명과 여학생 4명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?,6 - 4,2
공원에 남학생 6명과 여학생 4명이 있습니다. 공원에는 몇 명의 학생이 있나요?,6 + 4,10
공원에 남학생 6명과 여학생 4명이 있습니다. 잠시 뒤 남학생이 2명 더 왔다면 남학생은 여학생보다 몇 명 더 많을까요?,6 + 2 - 4,8
공원에 여학생 4명과 남학생 6명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?,6 - 4,2
공원에 남학생 6명이 있습니다. 공원에 학생이 총 10명 있다면 여학생은 몇 명인가요?,10 - 6,4
참새 5마리가 나뭇가지에 앉아 있었는데 그중에서 5마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?,5 - 5,0
참새 5마리가 나뭇가지에 앉아 있었는데 3마리가 더 날라왔습니다. 나뭇가지에 참새는 몇 마리일까요?,5 + 3,8
