Question,Equation,answer
태형이는 딱지를 20장을 가지고 있었습니다. 한 상자에 5장씩 넣으면 몇 상자가 필요한지 쓰시오.,20 / 5,4
태형이는 딱지를 20장을 가지고 있었습니다. 상자가 4개면 한 상자에 몇 장씩 넣어야하는지 쓰시오.,20 / 4,5
태형이는 딱지를 20장을 가지고 있었습니다. 한 상자에 5장씩 넣으면 몇 상자가 필요한지 적어라.,20 / 5,4
태형이는 딱지를 20장을 가지고 있었습니다. 한 상자에 5장씩 넣으면 몇 상자가 필요한지 써라.,20 / 5,4
상자가 4개 있습니다. 한 상자에 5장씩 넣으면 딱지는 총 몇 장인지 쓰시오.,4 * 5,20
27층짜리 아파트가 있습니다. 한 층에 창문이 8개씩 있다면 아파트 전체 창문의 개수는 모두 몇 개 입니까?,27 * 8,216
27층짜리 아파트가 있습니다. 아파트 전체 창문의 개수가 216개라면 한 층의 창문의 개수는 몇 개 입니까?,216 / 8,8
아파트 한 층에 창문이 8개씩 있습니다. 27층짜리 아파트입니다. 전체 창문의 개수는 모두 몇 개 입니까?,27 * 8,216
27층짜리 아파트가 있습니다. 아파트를 2층 더 쌓았다. 한 층에 창문이 8개씩 있다. 아파트 전체 창문의 개수는 모두 몇 개 입니까?,( 27 + 2 ) * 8,216
27층짜리 아파트가 있습니다. 아파트를 2층 줄였다. 한 층에 창문이 8개씩 있다. 아파트 전체 창문의 개수는 모두 몇 개 입니까?,( 27 - 2 ) * 8,216
귤 20개를 4명이 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,5
4명이 있습니다. 귤 20개를 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,5
사과는 10개입니다. 귤 20개를 4명이 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,5
배는 10개입니다. 귤 20개를 4명이 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,5
포도는 10개입니다. 귤 20개를 4명이 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,5
유정이네 학교의 학생 수는 모두 740명입니다. 그 중에서 남학생이 369명이라면 여학생은 몇 명인지 쓰시오.,740 - 369,371
유정이네 학교의 학생 수는 모두 740명입니다. 그 중에서 여학생이 369명이라면 남학생은 몇 명인지 쓰시오.,740 - 369,371
유정이네 학교의 남학생 수는 369명입니다. 전체 학생 수가 740명이라면 여학생은 몇 명인지 쓰시오.,740 - 369,371
유정이네 학교의 학생 수는 모두 740명입니다. 선생님은 10명입니다. 그 중에서 남학생이 369명이라면 여학생은 몇 명인지 쓰시오.,740 - 369,371
유정이네 학교의 학생 수는 모두 740명입니다. 화장실은 10개입니다. 그 중에서 남학생이 369명이라면 여학생은 몇 명인지 쓰시오.,740 - 369,371
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어른이 189명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348
수영장에 어른이 189명 있습니다. 어린이와 어른을 합하면 모두 537명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어린이가 189명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어른이 189명입니다. 청소년은 1명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어른이 189명입니다. 강아지는 10마리입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348
"남준이네 학교의 6학년 남학생은 315명, 여학생은 247명입니다. 6학년 학생은 모두 몇 명입니까?",315 + 247,562
"남준이네 학교의 6학년 여학생은 247명, 남학생은 315명입니다. 6학년 학생은 모두 몇 명입니까?",315 + 247,562
"남준이네 학교의 6학년 남학생은 315명, 여학생은 247명입니다. 5학년 학생은 100명입니다. 6학년 학생은 모두 몇 명입니까?",315 + 247,562
"남준이네 학교의 6학년 남학생은 315명, 여학생은 247명입니다. 4학년 학생은 100명입니다. 6학년 학생은 모두 몇 명입니까?",315 + 247,562
