Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
태형이는 딱지를 20장을 가지고 있었습니다. 한 상자에 5장씩 넣으면 몇 상자가 필요한지 쓰시오.,20 / 5,name0이는 딱지를 number0장을 가지고 있었습니다. 한 상자에 number1장씩 넣으면 몇 상자가 필요한지 쓰시오.,number0 / number1,20 5 ,태형 ,4,0
27층짜리 아파트가 있습니다. 한 층에 창문이 8개씩 있다면 아파트 전체 창문의 개수는 모두 몇 개 입니까?,27 * 8,number0층짜리 아파트가 있습니다. 한 층에 창문이 number1개씩 있다면 아파트 전체 창문의 개수는 모두 몇 개 입니까?,number0 * number1,27 8 ,,216,0
귤 20개를 4명이 똑같이 따기로 했다면 한 사람이 따야 하는 귤의 개수를 쓰시오.,20 / 4,name0 number0개를 number1명이 똑같이 따기로 했다면 한 사람이 따야 하는 name1의 개수를 쓰시오.,number0 / number1,20 4 ,귤 ,5,0
유정이네 학교의 학생 수는 모두 740명입니다. 그 중에서 남학생이 369명이라면 여학생은 몇 명인지 쓰시오.,740 - 369,name0이네 학교의 학생 수는 모두 number0명입니다. 그 중에서 name1이 number1명이name2 name3은 몇 명인지 쓰시오.,number0 - number1,740 369 ,유정 라면 남학생 여학생 ,371,0
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어른이 189명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,수영장에 어린이와 어른을 합하여 모두 number0명 있습니다. 그 중 어른이 number1명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,number0 - number1,537 189 ,,348,0
"남준이네 학교의 6학년 남학생은 315명, 여학생은 247명입니다. 6학년 학생은 모두 몇 명입니까?",315 + 247,"name0이네 학교의 number0학년 name1은 number1명, name2은 number2명입니다. number3학년 학생은 모두 몇 명입니까?",number1 + number2,6 315 247 6 ,남준 남학생 여학생 ,562,0
A의 백의 자리 수와 일의 자리 수를 바꾼 후 395와 더하였더니 723이 되었다면 처음 세 자리 수와 189의 차는 얼마입니까?,( 723 - 395 ) + ( ( 723 - 395 ) % 10 - ( 723 - 395 ) // 100 ) * 99 - 189,name0의 number0자리 수와 number1자리 수를 바꾼 후 number2와 더하였더니 number3이 되었다면 처음 number4자리 수와 number5의 차는 얼마입니까?,( number3 - number2 ) + ( ( number3 - number2 ) % 10 - ( number3 - number2 ) // number0 ) * 99 - number5,100 1 395 723 3 189 ,A ,634,"10, 100 상수"
정국이는 처음에 500원을 가지고 있다가 150원짜리 사탕을 하나 사먹었고 어머니께 용돈 350원을 받았습니다. 정국이가 지금 가지고 있는 돈은 얼마입니까?,500 - 150 + 350,name0이는 처음에 number0원을 가지고 있다가 number1원짜리 name1을 number2 사먹었고 어머니께 용돈 number3원을 받았습니다. name2이가 지금 가지고 있는 돈은 얼마입니까?,number0 - number1 + number3,500 150 1 350 ,정국 사탕 ,700,0
태형이는 줄넘기를 어제는 153번하였고 오늘은 어제보다 198개를 더 많이 하였습니다. 태형이가 이틀 동안 줄넘기를 한 횟수는 모두 몇 회입니까?,153 + ( 153 + 198 ),name0이는 줄넘기를 어제는 number0번하였고 오늘은 어제보다 number1개를 더 많이 하였습니다. name1이가 이틀 동안 줄넘기를 한 횟수는 모두 몇 회입니까?,number0 + ( number0 + number1 ),153 198 ,태형 ,504,0
민영이네 학교 남학생은 530명이고 여학생은 417명입니다. 남학생은 여학생보다 몇 명 더 많습니까?,530 - 417,name0이네 학교 name1은 number0명이고 name2은 number1명입니다. name3은 name4보다 몇 명 더 많습니까?,number0 - number1,530 417 ,민영 남학생 여학생 ,113,0
윤기네 학교 남학생은 412명이고 여학생은 남학생보다 83명이 적습니다. 윤기네 학교 학생은 모두 몇 명입니까?,412 + ( 412 - 83 ),name0네 학교 name1은 number0명이고 name2은 name3보다 number1명이 적습니다. name4네 학교 학생은 모두 몇 명입니까?,number0 + ( number0 - number1 ),412 83 ,윤기 남학생 여학생 ,741,0
"호석이네 집은 배를 716개를 수확하였고, 유정이네 집은 504개를 수확하였습니다. 호석이네 집은 유정이네 집보다 배를 몇 개 더 수확하였습니까?",716 - 504,"name0이네 집은 name1를 number0개를 수확하였고, name2이네 집은 number1개를 수확하였습니다. name3이네 집은 name4이네 집보다 name5를 몇 개 더 수확하였습니까?",number0 - number1,716 504 ,유정 호석 배 배 ,212,0
"석진이는 구슬을 323개 가지고 있습니다. 태형이에게 185개를 주었고, 민영이에게 98개를 주었습니다. 석진이가 갖고 있는 구슬은 몇 개입니까?",323 - 185 - 98,"name0이는 구슬을 number0개 가지고 있습니다. name1이에게 number1개를 주었고, name2이에게 number2개를 주었습니다. name3이가 갖고 있는 구슬은 몇 개입니까?",number0 - number1 - number2,323 185 98 ,민영 태형 석진 ,40,0
"유나는 1,000원을 갖고 있습니다. 문구점에서 125원짜리 연필 1자루와 350원짜리 공책 2권을 샀습니다. 남은 돈은 얼마입니까?",1000 - 125 * 1 - 350 * 2,"name0는 number0,number1원을 갖고 있습니다. 문구점에서 number2원짜리 연필 number3자루와 number4원짜리 공책 number5권을 샀습니다. 남은 돈은 얼마입니까?",1000 - number2 * number3 - number4 * number5,1 000 125 1 350 2 ,유나 ,175,0
A에 114를 더해야 할 것을 잘못 계산하여 뺐더니 489가 되었습니다. 바르게 계산한 값으로 옳은 것은 어느 것입니까?,489 + 114 + 114,name0에 number0를 더해야 할 것을 잘못 계산하여 뺐더니 number1가 되었습니다. 바르게 계산한 값으로 옳은 것은 어느 것입니까?,number1 + number0 + number0,114 489 ,A ,717,0
"호석이는 이틀 전에 위인전을 128쪽을 읽고, 어제는 25쪽을 읽었습니다. 오늘은 어제보다 177쪽을 더 읽었습니다. 호석이가 3일동안 읽은 책의 양을 구하시오.",128 + 25 + ( 25 + 177 ),"name0이는 이틀 전에 위인전을 number0쪽을 읽고, 어제는 number1쪽을 읽었습니다. 오늘은 어제보다 number2쪽을 더 읽었습니다. name1이가 number3일동안 읽은 책의 양을 구하시오.",number0 + number1 + ( number1 + number2 ),128 25 177 3 ,호석 ,355,0
은지의 학교 운동장 한 바퀴는 175m입니다. 은지는 어제 2바퀴를 뛰었고 오늘은 3바퀴를 뛰었습니다. 은지가 어제와 오늘 학교 운동장을 뛴 거리를 구하시오.,175 * ( 2 + 3 ),name0의 학교 운동장 한 바퀴는 number0m입니다. name1는 어제 number1바퀴를 뛰었고 오늘은 number2바퀴를 뛰었습니다. name2가 어제와 오늘 학교 운동장을 뛴 거리를 구하시오.,number0 * ( number1 + number2 ),175 2 3 ,은지 ,875,0
유나는 기차를 타고 할머니댁에 가고 있습니다. 기차 안에는 처음에 722명이 타고 있었는데 첫 번째 역에서 253명이 내리고 113명이 더 탔습니다. 기차 안에는 모두 몇 명이 타고 있는지 쓰시오.,722 - 253 + 113,name0는 name1를 타고 할머니댁에 가고 있습니다. name2 안에는 처음에 number0명이 타고 있었는데 number1번째 역에서 number2명이 내리고 number3명이 더 탔습니다. name3 안에는 모두 몇 명이 타고 있는지 쓰시오.,number0 - number2 + number3,722 1 253 113 ,유나 기차 ,582,0
남준이는 문구점에서 130원짜리 도화지 1장과 520원짜리 연필 두 자루를 샀습니다. 남준이가 산 물건의 가격은 모두 얼마일까요?,130 * 1 + 520 * 2,name0이는 문구점에서 number0원짜리 도화지 number1장과 number2원짜리 연필 number3자루를 샀습니다. name1이가 산 물건의 가격은 모두 얼마일까요?,number0 * number1 + number2 * number3,130 1 520 2 ,남준 ,1170,0
"과수원에 사과나무가 276그루, 배나무가 156그루 있습니다. 여기에 59그루의 감나무를 더 심는다면 과수원에 있는 과일나무는 모두 몇 그루입니까?",276 + 156 + 59,"과수원에 name0나name1가 number0그루, name2나name3가 number1그루 있습니다. 여기에 number2그루의 name4나name5를 더 심는다면 과수원에 있는 과일나name6는 모두 몇 그루입니까?",number0 + number1 + number2,276 156 59 ,사과 배 감 무 배 ,491,0
