Question,Equation,answer
어떤 수에 0.5를 곱해야 할 것을 잘못하여 뺐더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 + 0.5 ) * 0.5,0.55
어떤 수에 0.5를 곱해야 할 것을 잘못하여 뺐더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 + 0.5 ) * 0.5,0.55
어떤 수에 0.5를 곱해야 할 것을 잘못하여 뺐더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 + 0.5 ) * 0.5,0.55
어떤 수에 0.5를 곱해야 할 것을 잘못하여 뺐더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 + 0.5 ) * 0.5,0.55
어떤 수에 0.5를 곱해야 할 것을 잘못하여 더했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 더했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 더했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 더했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 합했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 합했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 합했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 합했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 - 0.5 ) * 0.5,0.05
어떤 수에 0.5를 곱해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 * 0.5 ) * 0.5,0.15
어떤 수에 0.5를 곱해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 * 0.5 ) * 0.5,0.15
어떤 수에 0.5를 곱해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 * 0.5 ) * 0.5,0.15
어떤 수에 0.5를 곱해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 * 0.5 ) * 0.5,0.15
어떤 수에 0.5를 더해야 할 것을 잘못하여 곱했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 / 0.5 ) + 0.5,0.15
어떤 수에 0.5를 더해야 할 것을 잘못하여 곱했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 / 0.5 ) + 0.5,0.15
어떤 수에 0.5를 더해야 할 것을 잘못하여 곱했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 / 0.5 ) + 0.5,0.15
어떤 수에 0.5를 더해야 할 것을 잘못하여 곱했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 / 0.5 ) + 0.5,0.15
어떤 수에 0.5를 더해야 할 것을 잘못하여 뺏더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 + 0.5 ) + 0.5,1.7
어떤 수에 0.5를 더해야 할 것을 잘못하여 뺏더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 + 0.5 ) + 0.5,1.7
어떤 수에 0.5를 더해야 할 것을 잘못하여 뺏더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 + 0.5 ) + 0.5,1.7
어떤 수에 0.5를 더해야 할 것을 잘못하여 뺏더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구해라.,( 0.6 + 0.5 ) + 0.5,1.7
어떤 수에 0.5를 더해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 * 0.5 ) + 0.5,0.8
어떤 수에 0.5를 더해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마입니까?,( 0.6 * 0.5 ) + 0.5,0.8
어떤 수에 0.5를 더해야 할 것을 잘못하여 나눴더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 구하시오.,( 0.6 * 0.5 ) + 0.5,0.8
