Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
꽃집에서 한 다발에 20송이씩 들어 있는 장미를 2다발 팔았습니다. 장미를 모두 몇 송이 팔았습니까?,20 * 2,꽃집에서 한 다발에 number0송이씩 들어 있는 장미를 number1다발 팔았습니다. 장미를 모두 몇 송이 팔았습니까?,number0 * number1,20 2 ,,40,0
지민이는 딸기를 하루에 24개씩 먹습니다. 지민이가 2일 동안 먹은 딸기는 모두 몇 개입니까?,24 * 2,name0이는 딸기를 하루에 number0개씩 먹습니다. name1이가 number1일 동안 먹은 딸기는 모두 몇 개입니까?,number0 * number1,24 2 ,지민 ,48,0
호석이는 공원 둘레에 있는 62m 길이의 산책로를 4바퀴 걸었습니다. 호석이가 걸은 거리는 모두 몇 m입니까?,62 * 4,name0이는 공원 number0레에 있는 number1m 길이의 산책로를 number2바퀴 걸었습니다. name1이가 걸은 거리는 모두 몇 m입니까?,number1 * number2,2 62 4 ,호석 ,248,0
사탕이 한 봉지에 38개씩 들어 있습니다. 2봉지에 들어있는 사탕은 모두 몇 개입니까?,38 * 2,name0이 한 봉지에 number0개씩 들어 있습니다. number1봉지에 들어있는 name1은 모두 몇 개입니까?,number0 * number1,38 2 ,사탕 ,76,0
민영이는 하루에 동화책을 25쪽씩 읽습니다. 민영이가 6일 동안 읽은 동화책은 모두 몇 쪽입니까?,25 * 6,name0이는 하루에 동화책을 number0쪽씩 읽습니다. name1이가 number1일 동안 읽은 동화책은 모두 몇 쪽입니까?,number0 * number1,25 6 ,민영 ,150,0
한 상자에 14개씩 들어 있는 과자가 4상자 있습니다. 4상자에 들어 있는 과자는 모두 몇 개인가요?,14 * 4,한 상자에 number0개씩 들어 있는 name0가 number1상자 있습니다. number2상자에 들어 있는 name1는 모두 몇 개인가요?,number0 * number2,14 4 4 ,과자 ,56,0
포도가 120송이 있습니다. 포도를 한 상자에 6송이씩 담아 19상자 팔았다면 남은 포도는 몇 송이입니까?,120 - ( 6 * 19 ),name0가 number0송이 있습니다. name1를 한 상자에 number1송이씩 담아 number2상자 팔았다면 남은 name2는 몇 송이입니까?,number0 - ( number1 * number2 ),120 6 19 ,포도 ,6,0
남준이네 학교 3학년은 한 반에 21명씩 4개 반이 있습니다. 3학년 학생들에게 공책을 2권씩 나누어 주려고 합니다. 공책은 모두 몇 권 필요합니까?,21 * 4 * 2,name0이네 학교 number0학년은 한 반에 number1명씩 number2개 반이 있습니다. number3학년 학생들에게 공책을 number4권씩 나누어 주려고 합니다. 공책은 모두 몇 권 필요합니까?,number1 * number2 * number4,3 21 4 3 2 ,남준 ,168,0
"바퀴가 2개인 오토바이가 80대 있고, 바퀴가 4개인 자동차가 42대 있습니다. 오토바이와 자동차 바퀴 수의 차이를 구하시오",abs( 2 * 80 - 4 * 42 ),"바퀴가 number0개인 name0가 number1대 있고, 바퀴가 number2개인 name1가 number3대 있습니다. name2와 name3 바퀴 수의 차이를 구하시오",abs( number0 * number1 - number2 * number3 ),2 80 4 42 ,오토바이 자동차 ,8,0
남준이는 하루에 과학책을 12쪽씩 읽습니다. 남준이가 4일 동안 읽은 과학책은 모두 몇 쪽입니까?,12 * 4,name0이는 하루에 name1책을 number0쪽씩 읽습니다. name2이가 number1일 동안 읽은 name3책은 모두 몇 쪽입니까?,number0 * number1,12 4 ,남준 과학 ,48,0
오늘 과일 가게에서 한 상자에 53개씩 들어 있는 레몬을 3상자 팔았습니다. 오늘 판 레몬은 모두 몇 개입니까?,53 * 3,오늘 과일 가게에서 한 상자에 number0개씩 들어 있는 레몬을 number1상자 팔았습니다. 오늘 판 레몬은 모두 몇 개입니까?,number0 * number1,53 3 ,,159,0
빵이 모두 100개 있습니다. 빵을 한 접시에 6개씩 12접시에 담고 남은 빵은 몇 개 입니까?,100 - 6 * 12,name0이 모두 number0개 있습니다. name1을 한 접시에 number1개씩 number2접시에 담고 남은 name2은 몇 개 입니까?,number0 - number1 * number2,100 6 12 ,빵 ,28,0
태형이는 한 봉지에 귤 13개와 감 8개를 담아 친구 5명에게 한 봉지씩 나누어 주었습니다. 태형이가 친구 5명에게 나누어 준 과일은 모두 몇 개인가?,( 13 + 8 ) * 5,name0이는 한 봉지에 name1 number0개와 name2 number1개를 담아 친구 number2명에게 한 봉지씩 나누어 주었습니다. name3이가 친구 number3명에게 나누어 준 과일은 모두 몇 개인가?,( number0 + number1 ) * number3,13 8 5 5 ,태형 감 귤 ,105,0
연필의 길이는 15cm보다 6mm 더 깁니다. 연필의 길이는 몇 mm인가?,( 15 * 10 ) + 6,연필의 길이는 number0cm보다 number1mm 더 깁니다. 연필의 길이는 몇 mm인가?,( number0 * 10 ) + number1,15 6 ,,156,10 상수 (길이변환)
은지네 집에서 학교까지의 거리는 1km보다 200m 더 멉니다. 은지네 집에서 학교까지의 거리는 몇 m입니까?,( 1 * 1000 ) + 200,name0네 집에서 학교까지의 거리는 number0km보다 number1m 더 멉니다. name1네 집에서 학교까지의 거리는 몇 m입니까?,( number0 * 1000 ) + number1,1 200 ,은지 ,1200,0
영화가 2시간 10분 동안 상영되었습니다. 이 영화는 몇 분짜리 영화입니까?,( 2 * 60 ) + 10,영화가 number0시간 number1분 동안 상영되었습니다. 이 영화는 몇 분짜리 영화입니까?,( number0 * 60 ) + number1,2 10 ,,130,60 상수(시간변환)
윤기는 8시 45분에 집에서 출발하여 10시 10분에 계곡에 도착했습니다. 윤기가 집에서 계곡까지 가는데 몇 분이 걸렸습니까?,( ( 10 * 60 ) + 10 ) - ( ( 8 * 60 ) + 45 ),name0는 number0시 number1분에 집에서 출발하여 number2시 number3분에 계곡에 도착했습니다. name1가 집에서 계곡까지 가는데 몇 분이 걸렸습니까?,( ( number3 * 60 ) + number3 ) - ( ( number0 * 60 ) + number1 ),8 45 10 10 ,윤기 ,85,60 상수(시간변환)
"호석이가 집에서 해수욕장까지 가는 데 기차를 1시간 40분 동안 타고, 버스를 1시간 30분 동안 탔습니다. 호석이가 해수욕장까지 가는 데 기차와 버스를 탄 시간은 모두 몇 분입니까?",( 1 * 60 ) + 40 + ( 1 * 60 ) + 30,"name0이가 집에서 해수욕장까지 가는 데 name1를 number0시간 number1분 동안 타고, name2를 number2시간 number3분 동안 탔습니다. name3이가 해수욕장까지 가는 데 name4와 name5를 탄 시간은 모두 몇 분입니까?",( number2 * 60 ) + number1 + ( number2 * 60 ) + number3,1 40 1 30 ,호석 버스 기차 ,190,60 상수(시간변환)
"(가) 산책로는 3050m이고 (나) 산책로는 3km 9m이고, (다) 산책로는 3km보다 200m 더 깁니다. 가장 긴 산책로는 어디입니까?","'(가)' if max( 3050 , 3 * 1000 + 9 , 3 * 1000 + 200 ) == 3050 else ( '(나)' if max( 3050 , 3 * 1000 + 9 , 3 * 1000 + 200 ) == 3 * 1000 + 9 else '(다)' )","name0 산책로는 number0m이고 name1 산책로는 number1km number2m이고, name2 산책로는 number3km보다 number4m 더 깁니다. 가장 긴 산책로는 어디입니까?","'(name0)' if max( number0 , number3 * 1000 + number2 , number3 * 1000 + number4 ) == number0 else ( '(name1)' if max( number0 , number3 * 1000 + number2 , number3 * 1000 + number4 ) == number3 * 1000 + number2 else '(name2)' )",3050 3 9 3 200 ,(가) (나) (다) ,(다),0
"태형이와 민영이는 똑같은 초콜릿을 1개씩 먹고 있습니다. 초콜릿을 태형이는 전체의 5/9만큼 먹었고, 민영이는 전체의 4/9만큼 먹었습니다. 초콜릿을 더 많이 먹은 사람은 누구입니까?",'태형' if 5/9 > 4/9 else '민영',"name0이와 name1이는 똑같은 초콜릿을 number0개씩 먹고 있습니다. 초콜릿을 name2이는 전체의 number1만큼 먹었고, name3이는 전체의 number2만큼 먹었습니다. 초콜릿을 더 많이 먹은 사람은 누구입니까?",'name1' if number1 > number2 else 'name0',1 5/9 4/9 ,민영 태형 ,태형,0
"남준이와 지민이는 모양과 크기가 같은 도화지를 한 장씩 가지고 있습니다. 도화지를 남준이는 1/9만큼 사용했고, 지민이는 1/7만큼 사용했습니다. 도화지를 더 많이 사용한 사람은 누구입니까?",'남준' if 1/9 > 1/7 else '지민',"name0이와 name1이는 모양과 크기가 같은 도화지를 한 장씩 가지고 있습니다. 도화지를 name2이는 number0만큼 사용했고, name3이는 number1만큼 사용했습니다. 도화지를 더 많이 사용한 사람은 누구입니까?",'name0' if number0 > number1 else 'name1',1/9 1/7 ,남준 지민 ,지민,0
리본 1m를 똑같이 10조각으로 나누어 그 중 호석이가 2조각을 사용했습니다. 호석이가 사용한 리본의 길이는 몇 m인가?,( 1 / 10 ) * 2,리본 number0m를 똑같이 number1조각으로 나누어 그 중 name0이가 number2조각을 사용했습니다. name1이가 사용한 리본의 길이는 몇 m인가?,( number0 / number1 ) * number2,1 10 2 ,호석 ,0.20,0
민영이가 가진 연필의 길이는 87mm입니다. 민영이의 연필의 길이는 몇 cm입니까?,87 / 10,name0이가 가진 연필의 길이는 number0mm입니다. name1이의 연필의 길이는 몇 cm입니까?,number0 / 10,87 ,민영 ,8.70,10 상수(길이변환)
가지고 있는 색 테이프의 길이가 남준이는 0.5m이고 은지는 0.6m 입니다. 가지고 있는 색 테이프의 길이가 더 긴 사람은 누구입니까?,'은지' if 0.5 < 0.6 else '남준',가지고 있는 색 테이프의 길이가 name0이는 number0m이고 name1는 number1m 입니다. 가지고 있는 색 테이프의 길이가 더 긴 사람은 누구입니까?,'name1' if number0 < number1 else 'name0',0.5 0.6 ,남준 은지 ,은지,0
"어제 오전에 내린 비의 양은 11cm이고, 오후에 내린 비의 양은 8mm입니다. 어제 내린 비의 양은 모두 몇 cm인지 소수로 나타내어 보시오.",( 11 * 10 + 8 ) / 10,"어제 오전에 내린 비의 양은 number0cm이고, 오후에 내린 비의 양은 number1mm입니다. 어제 내린 비의 양은 모두 몇 cm인지 소수로 나타내어 보시오.",( number0 * 10 + number1 ) / 10,11 8 ,,11.80,10 상수 (길이 변환)
태형이는 케이크의 2/8를 먹었습니다. 남은 케이크는 태형이가 먹은 케이크의 몇 배입니까?,( 1 - 2/8 ) / ( 2/8 ),name0이는 케이크의 number0를 먹었습니다. 남은 케이크는 name1이가 먹은 케이크의 몇 name2입니까?,( 1 - number0 ) / ( number0 ),2/8 ,태형 배 배 ,3,0
윤기가 가진 끈은 178m이고 민영이가 가진 끈은 264m입니다. 두 사람이 가진 끈은 모두 몇 m입니까?,178 + 264,name0가 가진 끈은 number0m이고 name1이가 가진 끈은 number1m입니다. 두 사람이 가진 끈은 모두 몇 m입니까?,number0 + number1,178 264 ,민영 윤기 ,442,0
"어느 날 장난감 공장에서 장난감을 오전에 874개, 오후에 494개 만들었습니다. 이 공장에서 이날 만든 장난감은 모두 몇 개입니까?",874 + 494,"어느 날 장난name0 공장에서 장난name1을 오전에 number0개, 오후에 number1개 만들었습니다. 이 공장에서 이날 만든 장난name2은 모두 몇 개입니까?",number0 + number1,874 494 ,감 ,1368,0
공책이 (가)문방구에는 317권 있고 (나)문방구에는 (가)문방구보다 134권 더 적게 있습니다. (나)문방구에는 공책이 몇 권 있습니까?,317 - 134,공책이 name0문방구에는 number0권 있고 name1문방구에는 name2문방구보다 number1권 더 적게 있습니다. name3문방구에는 공책이 몇 권 있습니까?,number0 - number1,317 134 ,(가) (나) ,183,0
"유정이는 선물 상자를 포장하는 데 노란색 테이프를 434cm, 초록색 테이프를 186cm 사용했습니다. 노란색 테이프를 초록색 테이프보다 몇 cm 더 많이 사용했습니까?",434 - 186,"name0이는 선물 상자를 포장하는 데 name1 테이프를 number0cm, name2 테이프를 number1cm 사용했습니다. name3 테이프를 name4 테이프보다 몇 cm 더 많이 사용했습니까?",number0 - number1,434 186 ,유정 노란색 초록색 ,248,0
9명을 3모둠으로 똑같이 나누려고 합니다. 한 모둠에 몇 명씩입니까?,9 / 3,number0명을 number1모둠으로 똑같이 나누려고 합니다. 한 모둠에 몇 명씩입니까?,number0 / number1,9 3 ,,3,0
도넛 10개를 상자 2개에 똑같이 나누어 담으려고 합니다. 상자 한 개에 도넛을 몇 개씩 담아야 합니까?,10 / 2,도넛 number0개를 상자 number1개에 똑같이 나누어 담으려고 합니다. 상자 number2개에 도넛을 몇 개씩 담아야 합니까?,number0 / number1,10 2 1 ,,5,0
색종이 12장을 4명에게 똑같이 나누어 주려고 합니다. 한 명에게 몇 장씩 줄 수 있습니까?,12 / 4,색종이 number0장을 number1명에게 똑같이 나누어 주려고 합니다. number2명에게 몇 장씩 줄 수 있습니까?,number0 / number1,12 4 1 ,,3,0
연필 12자루를 한 명에게 2자루씩 나누어 주려고 합니다. 몇 명에게 나누어 줄 수 있습니까?,12 / 2,연필 number0자루를 number1명에게 number2자루씩 나누어 주려고 합니다. 몇 명에게 나누어 줄 수 있습니까?,number0 / number2,12 1 2 ,,6,0
사탕 16개를 한 봉지에 4개씩 담으려고 합니다. 봉지는 몇 개 필요합니까?,16 / 4,name0 number0개를 한 봉지에 number1개씩 담으려고 합니다. 봉지는 몇 개 필요합니까?,number0 / number1,16 4 ,사탕 ,4,0
떡 15개를 한 상자에 3개씩 담아 포장하려고 합니다. 상자는 몇 개 필요합니까?,15 / 3,떡 number0개를 한 상자에 number1개씩 담아 포장하려고 합니다. 상자는 몇 개 필요합니까?,number0 / number1,15 3 ,,5,0
감자가 30개 있습니다. 한 봉지에 감자를 5개씩 담으려고 합니다. 봉지는 몇 봉지 필요합니까?,30 / 5,name0자가 number0개 있습니다. 한 봉지에 name1자를 number1개씩 담으려고 합니다. 봉지는 몇 봉지 필요합니까?,number0 / number1,30 5 ,감 ,6,0
쿠키가 9개씩 4줄로 놓여 있습니다. 쿠키는 모두 몇 개입니까?,9 * 4,쿠키가 number0개씩 number1줄로 놓여 있습니다. 쿠키는 모두 몇 개입니까?,number0 * number1,9 4 ,,36,0
바둑돌 24개를 봉지 3개에 똑같이 나누어 담으면 한 봉지에 바둑돌을 몇 개씩 담을 수 있습니까?,24 / 3,바둑돌 number0개를 봉지 number1개에 똑같이 나누어 담으면 한 봉지에 바둑돌을 몇 개씩 담을 수 있습니까?,number0 / number1,24 3 ,,8,0
72쪽짜리 수학 문제집을 하루에 9쪽씩 매일 풀려고 합니다. 이 수학 문제집을 모두 풀려면 며칠이 걸립니까?,72 / 9,number0쪽짜리 name0 문제집을 하루에 number1쪽씩 매일 풀려고 합니다. 이 name1 문제집을 모두 풀려면 며칠이 걸립니까?,number0 / number1,72 9 ,수학 ,8,0
딱지 28장을 7명이 똑같이 나누어 가지려고 합니다. 한 명이 딱지를 몇 장씩 가질 수 있습니까?,28 / 7,딱지 number0장을 number1명이 똑같이 나누어 가지려고 합니다. number2명이 딱지를 몇 장씩 가질 수 있습니까?,number0 / number1,28 7 1 ,,4,0
옥수수 12개를 한 봉지에 3개씩 담아 팔려고 합니다. 몇 봉지를 팔 수 있는지 두 가지 방법으로 구해 보시오.,12 / 3,옥수수 number0개를 한 봉지에 number1개씩 담아 팔려고 합니다. 몇 봉지를 팔 수 있는지 number2가지 방법으로 구해 보시오.,number0 / number1,12 3 2 ,,4,0
한 모둠에 학생이 7명씩 있습니다. 학생이 모두 56명이면 몇 모둠입니까?,56 / 7,한 모둠에 학생이 number0명씩 있습니다. 학생이 모두 number1명이면 몇 모둠입니까?,number1 / number0,7 56 ,,8,0
장미 28송이를 꽃병 4개에 똑같이 나누어 꽂으려고 합니다. 꽃병 한 개에 장미를 몇 송이씩 꽂아야 합니까?,28 / 4,장미 number0송이를 꽃병 number1개에 똑같이 나누어 꽂으려고 합니다. 꽃병 number2개에 장미를 몇 송이씩 꽂아야 합니까?,number0 / number1,28 4 1 ,,7,0
도화지 한 장으로 종이학을 6개 만들 수 있습니다. 종이학 48개를 만들려면 도화지는 몇 장 필요합니까?,48 / 6,도화지 한 장으로 종이학을 number0개 만들 수 있습니다. 종이학 number1개를 만들려면 도화지는 몇 장 필요합니까?,number1 / number0,6 48 ,,8,0
남준이는 지우개를 7묶음 샀습니다. 남준이가 산 지우개가 모두 14개일 때 한 묶음에 지우개가 몇 개 있는 지 구하시오,14 / 7,name0이는 지우개를 number0묶음 샀습니다. name1이가 산 지우개가 모두 number1개일 때 한 묶음에 지우개가 몇 개 있는 지 구하시오,number1 / number0,7 14 ,남준 ,2,0
거북이 24마리를 어항 3개에 똑같이 나누어 넣으려고 합니다. 어항 한 개에 거북이를 몇 마리씩 넣어야 합니까?,24 / 3,거북이 number0마리를 어항 number1개에 똑같이 나누어 넣으려고 합니다. 어항 number2개에 거북이를 몇 마리씩 넣어야 합니까?,number0 / number1,24 3 1 ,,8,0
과학 잡지가 15권 있습니다. 한 명에게 3권씩 나누어 주면 몇 명에게 나누어 줄 수 있습니까?,15 / 3,name0 잡지가 number0권 있습니다. number1명에게 number2권씩 나누어 주면 몇 명에게 나누어 줄 수 있습니까?,number0 / number2,15 1 3 ,과학 ,5,0
"복숭아 30개를 상자 5개에 똑같이 나누어 담고, 한 상자에 담긴 복숭아를 친구 3명에게 똑같이 나누어 주었습니다. 친구 한 명에게 나누어 준 복숭아는 몇 개입니까?",( 30 * 5 ) / 3,"복숭아 number0개를 상자 number1개에 똑같이 나누어 담고, 한 상자에 담긴 복숭아를 친구 number2명에게 똑같이 나누어 주었습니다. 친구 number3명에게 나누어 준 복숭아는 몇 개입니까?",( number0 * number1 ) / number2,30 5 3 1 ,,50,0
어떤 수를 8로 나누어야 할 것을 잘못하여 6으로 나누었더니 몫이 4가 되었습니다. 바르게 계산하면 얼마인지 구해 보시오.,( 6 * 4 ) / 8,어떤 수를 number0로 나누어야 할 것을 잘못하여 number1으로 나누었더니 몫이 number2가 되었습니다. 바르게 계산하면 얼마인지 구해 보시오.,( number1 * number2 ) / number0,8 6 4 ,,3,0
토끼 3마리가 하루에 당근을 9개 먹습니다. 모든 토끼가 매일 똑같은 수의 당근을 먹는다면 토끼 5마리가 당근 30개를 먹는 데 며칠이 걸리는지 구해 보시오.,30 / ( ( 9 / 3 ) * 5 ),토끼 number0마리가 하루에 name0을 number1개 먹습니다. 모든 토끼가 매일 똑같은 수의 name1을 먹는다면 토끼 number2마리가 name2 number3개를 먹는 데 며칠이 걸리는지 구해 보시오.,number3 / ( ( number1 / number0 ) * number2 ),3 9 5 30 ,당근 ,2,0
슈퍼마켓에서 한 판에 30개씩 들어 있는 달걀을 7판 팔았습니다. 달걀을 모두 몇 개 팔았습니까?,30 * 7,슈퍼마켓에서 한 판에 number0개씩 들어 있는 name0을 number1판 팔았습니다. name1을 모두 몇 개 팔았습니까?,number0 * number1,30 7 ,달걀 ,210,0
34명이 탈 수 있는 버스가 있습니다. 이 버스 2대에 탈 수 있는 사람은 모두 몇 명입니까?,34 * 2,number0명이 탈 수 있는 name0가 있습니다. 이 name1 number1대에 탈 수 있는 사람은 모두 몇 명입니까?,number0 * number1,34 2 ,버스 ,68,0
유정이네 학교 3학년은 6개 반입니다. 각 반의 학생 수는 31명입니다. 유정이네 학교 3학년 학생은 모두 몇 명입니까?,6 * 31,name0이네 학교 number0학년은 number1개 반입니다. 각 반의 학생 수는 number2명입니다. name1이네 학교 number3학년 학생은 모두 몇 명입니까?,number1 * number2,3 6 31 3 ,유정 ,186,0
상자 한 개를 포장하는 데 끈이 45cm 필요합니다. 상자 2개를 포장하는 데 필요한 끈은 모두 몇 cm입니까?,45 * 2,상자 number0개를 포장하는 데 끈이 number1cm 필요합니다. 상자 number2개를 포장하는 데 필요한 끈은 모두 몇 cm입니까?,number1 * number2,1 45 2 ,,90,0
현경이는 하루에 종이학을 46개씩 만듭니다. 현경이가 3일 동안 만든 종이학은 모두 몇 개입니까?,46 * 3,현경이는 하루에 종이학을 number0개씩 만듭니다. 현경이가 number1일 동안 만든 종이학은 모두 몇 개입니까?,number0 * number1,46 3 ,,138,0
한 봉지에 13개씩 들어 있는 쿠키가 6봉지 있습니다. 6봉지에 들어 있는 쿠키는 모두 몇 개인가?,13 * 6,한 봉지에 number0개씩 들어 있는 쿠키가 number1봉지 있습니다. number2봉지에 들어 있는 쿠키는 모두 몇 개인가?,number0 * number2,13 6 6 ,,78,0
어느 자동차 공장에서 승용차 바퀴 150개를 생산했습니다. 바퀴가 4개짜리인 승용차 28대에 바퀴를 달았다면 남은 바퀴는 몇 개입니까?,150 - ( 4 * 28 ),어느 name0 공장에서 승용차 바퀴 number0개를 생산했습니다. 바퀴가 number1개짜리인 승용차 number2대에 바퀴를 달았다면 남은 바퀴는 몇 개입니까?,number0 - ( number1 * number2 ),150 4 28 ,자동차 ,38,0
윤기네 학교 3학년은 한 반에 32명씩 2개 반이 있습니다. 3학년 학생들에게 사탕을 5개씩 나누어 주려고 합니다. 사탕은 모두 몇 개 필요합니까?,32 * 2 * 5,name0네 학교 number0학년은 한 반에 number1명씩 number2개 반이 있습니다. number3학년 학생들에게 name1을 number4개씩 나누어 주려고 합니다. name2은 모두 몇 개 필요합니까?,number1 * number2 * number4,3 32 2 3 5 ,윤기 사탕 ,320,0
태형이는 9시 40분에 집에서 출발하여 12시 5분에 미술관에 도착했습니다. 태형이가 집에서 미술관까지 가는 데 걸린 시간은 몇 분입니까?,( 12 * 60 + 5 ) - ( 9 * 60 + 40 ),name0이는 number0시 number1분에 집에서 출발하여 number2시 number3분에 name1관에 도착했습니다. name2이가 집에서 name3관까지 가는 데 걸린 시간은 몇 분입니까?,( number2 * 60 + number3 ) - ( number0 * 60 + number1 ),9 40 12 5 ,태형 미술 ,145,60 상수(시간변환)
"민영이와 유나는 똑같은 단팥빵을 1개씩 먹고 있습니다. 단팥빵을 민영이는 전체의 2/8만큼 먹었고, 유나는 전체의 3/8만큼 먹었습니다. 단팥빵을 더 많이 먹은 사람은 누구입니까?",'민영' if 2/8 > 3/8 else '유나',"name0이와 name1는 똑같은 단팥name2을 number0개씩 먹고 있습니다. 단팥name3을 name4이는 전체의 number1만큼 먹었고, name5는 전체의 number2만큼 먹었습니다. 단팥name6을 더 많이 먹은 사람은 누구입니까?",'name0' if number1 > number2 else 'name1',1 2/8 3/8 ,민영 유나 빵 ,유나,0
남준이와 윤기는 모양과 크기가 같은 색종이를 한 장씩 가지고 있습니다. 색종이를 남준이는 1/6만큼 사용했고 윤기는 1/4만큼 사용했습니다. 색종이를 더 많이 사용한 사람은 누구입니까?,'남준' if 1/6 > 1/4 else '윤기',name0이와 name1는 모양과 크기가 같은 색종이를 한 장씩 가지고 있습니다. 색종이를 name2이는 number0만큼 사용했고 name3는 number1만큼 사용했습니다. 색종이를 더 많이 사용한 사람은 누구입니까?,'name0' if number0 > number1 else 'name1',1/6 1/4 ,남준 윤기 ,윤기,0
민영이는 호떡을 똑같이 6조각으로 나누어 전체의 1/2만큼 먹으려고 합니다. 민영이는 호떡을 몇 조각 먹게 됩니까?,6 * ( 1/2 ),name0이는 호떡을 똑같이 number0조각으로 나누어 전체의 number1만큼 먹으려고 합니다. name1이는 호떡을 몇 조각 먹게 됩니까?,number0 * ( number1 ),6 1/2 ,민영 ,3,0
끈 1m를 똑같이 10조각으로 나누어 그 중 유정이가 3조각을 사용했습니다. 유정이가 사용한 끈의 길이는 몇 m입니까?,( 1 / 10 ) * 3,끈 number0m를 똑같이 number1조각으로 나누어 그 중 name0이가 number2조각을 사용했습니다. name1이가 사용한 끈의 길이는 몇 m입니까?,( number0 / number1 ) * number2,1 10 3 ,유정 ,0.30,0
지민이가 가지고 있는 풀의 길이는 76mm입니다. 지민이가 가지고 있는 풀의 길이는 몇 cm인지 소수로 나타내어 보시오,76 / 10,name0이가 가지고 있는 풀의 길이는 number0mm입니다. name1이가 가지고 있는 풀의 길이는 몇 cm인지 소수로 나타내어 보시오,number0 / 10,76 ,지민 ,7.60,10 상수 (길이 변환)
"가지고 있는 리본의 길이가 태형이는 0.3m이고, 유정이는 0.4m입니다. 가지고 있는 리본의 길이가 더 긴 사람은 누구입니까",'태형' if 0.3 > 0.4 else '유정',"가지고 있는 리본의 길이가 name0이는 number0m이고, name1이는 number1m입니다. 가지고 있는 리본의 길이가 더 긴 사람은 누구입니까",'name1' if number0 > number1 else 'name0',0.3 0.4 ,유정 태형 ,유정,0
유정이의 수첩의 긴 쪽의 길이는 42cm보다 6mm 더 깁니다. 유정이의 수첩의 긴 쪽의 길이는 몇 cm인가?,42 + ( 6 / 10 ),name0이의 수첩의 긴 쪽의 길이는 number0cm보다 number1mm 더 깁니다. name1이의 수첩의 긴 쪽의 길이는 몇 cm인가?,number0 + ( number1 / 10 ),42 6 ,유정 ,42.60,10 상수 (길이 변환)
"남준이는 색 테이프를 가지고 있습니다. 빨간색 테이프는 0.6m, 노란색 테이프는 1.2m, 파란색 테이프는 0.8m, 보라색 테이프는 1.4m를 가지고 있습니다. 가장 긴 색 테이프는 무슨색인가?","'빨간색' if max( 0.6 , 1.2 , 0.8 , 1.4 ) == 0.6 else ( '노란색' if max( 0.6 , 1.2 , 0.8 , 1.4 ) == 1.2 else ( '파란색' if max( 0.6 , 1.2 , 0.8 , 1.4 ) == 0.8 else '보라색' ) )","name0이는 색 테이프를 가지고 있습니다. name1 테이프는 number0m, name2 테이프는 number1m, name3 테이프는 number2m, name4 테이프는 number3m를 가지고 있습니다. 가장 긴 색 테이프는 name5슨색인가?","'name3' if max( number0 , number1 , number2 , number3 ) == number0 else ( 'name1' if max( number0 , number1 , number2 , number3 ) == number1 else ( 'name2' if max( number0 , number1 , number2 , number3 ) == number2 else 'name4' ) )",0.6 1.2 0.8 1.4 ,남준 노란색 파란색 빨간색 보라색 무 ,보라색,0
