Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
각 컵에는 8.0리터의 물이 있습니다. 컵 33.0개에는 총 몇 리터의 물이 있습니까?,8.0 * 33.0,각 컵에는 number0리터의 물이 있습니다. 컵 number1개에는 총 몇 리터의 물이 있습니까?,number0 * number1,8.0 33.0 ,,264,0
"지민이는 8.0박스의 크레용을 갖고 있습니다. 각 상자에는 7.0개의 크레용이 있을 때, 얼마나 많은 크레용을 갖고 있습니까?",8.0 * 7.0,"name0이는 number0박스의 크레용을 갖고 있습니다. 각 상자에는 number1개의 크레용이 있을 때, 얼마나 많은 크레용을 갖고 있습니까?",number0 * number1,8.0 7.0 ,지민 ,56,0
태형이는 시간당 2.0마일을 3.0시간 동안 경우 태형이가 간 길이는 총 몇 마일입니까?,3.0 * 2.0,name0이는 시간당 number0마일을 number1시간 동안 경우 name1이가 간 길이는 총 몇 마일입니까?,number1 * number0,2.0 3.0 ,태형 ,6,0
지민이는 빨간사과 초록사과 총 9570.0개를 갖고 있습니다. 빨간사과가 3867.0개라면 총 몇개의 초록사과를 갖고 있습니까?,9570.0 - 3867.0,name0이는 빨간name1 초록name2 총 number0개를 갖고 있습니다. 빨간name3가 number1개name4 총 몇개의 초록name5를 갖고 있습니까?,number0 - number1,9570.0 3867.0 ,지민 사과 라면 ,5703,0
"마을에서 민영이는 7.0개의 지우개를 샀습니다. 다른 마을에서 3.0개의 지우개를 샀고, 지우개는 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),"마을에서 name0이는 number0개의 지우개를 샀습니다. 다른 마을에서 number1개의 지우개를 샀고, 지우개는 number2개당 number3원 입니다. 총 얼마를 지불 했습니까?",number3 * ( number0 + number1 ),7.0 3.0 1 5.0 ,민영 ,50,0
남준이는 해변에서 79.0개의 조개를 발견했습니다. 남준이가 태형이에게 63.0개의 조개를 주었다면 남준이는 몇개의 조개를 갖고 있습니까?,79.0 - 63.0,name0이는 해변에서 number0개의 조개를 발견했습니다. name1이가 name2이에게 number1개의 조개를 주었다면 name3이는 몇개의 조개를 갖고 있습니까?,number0 - number1,79.0 63.0 ,태형 남준 ,16,0
"윤기는 50.0마리의 물고기를 키웁니다. 은지에게 35.0마리를 주었다면, 총 몇마리의 물고기가 있습니까?",50.0 - 35.0,"name0는 number0마리의 물고기를 키웁니다. name1에게 number1마리를 주었다면, 총 몇마리의 물고기가 있습니까?",number0 - number1,50.0 35.0 ,윤기 은지 ,15,0
"윤기는 15.0개의 비디오게임을 갖고 있습니다. 윤기가 정국이에게 9.0개를 주고, 비디오 게임 1개당 5분의 시간이 걸릴때, 윤기는 총 몇분동안 게임을 할 수 있습니까?",5.0 * ( 15.0 - 9.0 ),"name0는 number0개의 비디오게임을 갖고 있습니다. name1가 name2이에게 number1개를 주고, 비디오 게임 number2개당 number3분의 시간이 걸릴때, name3는 총 몇분동안 게임을 할 수 있습니까?",number3 * ( number0 - number1 ),15.0 9.0 1 5 ,정국 윤기 ,30,0
"태형이는 21.0개의 바나나를 가지고 있습니다. 그가 친구들에게 3.0개씩 나눠 줄 때, 총 몇 명의 친구들에게 나눠 줄 수 있습니까?",21.0 / 3.0,"name0이는 number0개의 바나나를 가지고 있습니다. 그가 친구들에게 number1개씩 나눠 줄 때, 총 몇 명의 친구들에게 나눠 줄 수 있습니까?",number0 / number1,21.0 3.0 ,태형 ,7,0
유정이는 7.0개의 테이블과 3.0개의 의자를 구매했습니다. 각각 4.0원 씩 주고 샀다면 총 얼마를 지불 했습니까?,4.0 * ( 7.0 + 3.0 ),name0이는 number0개의 테이블과 number1개의 의자를 구매했습니다. 각각 number2원 씩 주고 샀다면 총 얼마를 지불 했습니까?,number2 * ( number0 + number1 ),7.0 3.0 4.0 ,유정 ,40,0
