Question,Equation,answer
꽃집에서 한 다발에 20송이씩 들어 있는 장미를 2다발 팔았습니다. 장미를 모두 몇 송이 팔았습니까?,20 * 2,40
꽃집에서 한 다발에 15송이씩 들어 있는 해바라기를 3다발 팔았습니다. 해바라기를 모두 몇 송이 팔았습니까?,15 * 3,45
꽃집에서 한 다발에 2송이씩 들어 있는 튤립을 5다발 팔았습니다. 튤립을 모두 몇 송이 팔았습니까?,2 * 5,10
꽃집에서 한 다발에 38송이씩 들어 있는 데이지를 7다발 팔았습니다. 데이지를 모두 몇 송이 팔았습니까?,38 * 7,196
꽃집에서 한 다발에 5송이씩 들어 있는 카네이션을 20다발 팔았습니다. 카네이션을 모두 몇 송이 팔앗습니까?,5 * 20,100
지민이는 딸기를 하루에 24개씩 먹습니다. 지민이가 2일 동안 먹은 딸기는 모두 몇 개입니까?,24 * 2,48
남준이는 수박을 하루에 2개씩 먹습니다. 남준이가 4일 동안 먹은 수박은 모두 몇 개입니까?,2 * 4,8
민영이는 체리를 하루에 33개씩 먹습니다. 민영이가 7일 동안 먹은 체리는 모두 몇 개입니까?,33 * 7,231
호석이는 사과를 하루에 5개씩 먹습니다. 호석이가 9일 동안 먹은 사과는 모두 몇 개입니까?,5 * 9,45
태형이는 키위를 하루에 10개씩 먹습니다. 태형이가 20일 동안 먹은 키위는 모두 몇 개입니까?,10 * 20,200
호석이는 공원 둘레에 있는 62m 길이의 산책로를 4바퀴 걸었습니다. 호석이가 걸은 거리는 모두 몇 m입니까?,62 * 4,248
은지는 공원 둘레에 있는 30m 길이의 산책로를 5바퀴 걸었습니다. 은지가 걸은 거리는 모두 몇 m입니까?,30 * 5,150
석진이는 공원 둘레에 있는 25m 길이의 산책로를 3바퀴 걸었습니다. 석진이가 걸은 거리는 모두 몇 m입니까?,25 * 3,75
윤기는 공원 둘레에 있는 48m 길이의 산책로를 20바퀴 걸었습니다. 윤기가 걸은 거리는 모두 몇 m입니까?,48 * 20,960
남준이는 공원 둘레에 있는 16m 길이의 산책로를 17바퀴 걸었습니다. 남준이가 걸은 거리는 모두 몇 m입니까?,16 * 17,272
사탕이 한 봉지에 38개씩 들어 있습니다. 2봉지에 들어있는 사탕은 모두 몇 개입니까?,38 * 2,76
사탕이 한 봉지에 20개씩 들어 있습니다. 4봉지에 들어있는 사탕은 모두 몇 개입니까?,20 * 4,80
사탕이 한 봉지에 19개씩 들어 있습니다. 28봉지에 들어있는 사탕은 모두 몇 개입니까?,19 * 28,532
사탕이 한 봉지에 3개씩 들어 있습니다. 16봉지에 들어있는 사탕은 모두 몇 개입니까?,3 * 16,48
사탕이 한 봉지에 4개씩 들어 있습니다. 39봉지에 들어있는 사탕은 모두 몇 개입니까?,4 * 39,156
한 상자에 14개씩 들어 있는 과자가 4상자 있습니다. 4상자에 들어 있는 과자는 모두 몇 개인가요?,14 * 4,56
한 상자에 27개씩 들어 있는 젤리가 5상자 있습니다. 5상자에 들어 있는 젤리는 모두 몇 개인가요?,27 * 5,135
한 상자에 30개씩 들어 있는 쿠키가 3상자 있습니다. 3상자에 들어 있는 쿠키는 모두 몇 개인가요?,30 * 3,90
한 상자에 4개씩 들어 있는 초콜릿이 8상자 있습니다. 8상자에 들어 있는 초콜릿은 모두 몇 개인가요?,4 * 8,32
한 상자에 50개씩 들어 있는 사과가 6상자 있습니다. 6상자에 들어 있는 사과는 모두 몇 개인가요?,50 * 6,300
포도가 120송이 있습니다. 포도를 한 상자에 6송이씩 담아 19상자 팔았다면 남은 포도는 몇 송이입니까?,120 - ( 6 * 19 ),6
초콜릿이 300개가 있습니다. 초콜릿을 한 상자에 10개씩 담아 20상자 팔았다면 남은 초콜릿은 몇 개입니까?,300 - ( 10 * 20 ),100
토마토가 60개가 있습니다. 토마토를 한 상자에 4개씩 담아 3상자 팔았다면 남은 토마토는 몇 개입니까?,60 - ( 4 * 3 ),48
사과가 280개가 있습니다. 사과를 한 상자에 8개씩 담아 27상자 팔았다면 남은 사과는 몇 개입니까?,280 - ( 8 * 27 ),64
딸기가 80개가 있습니다. 딸기를 한 상자에 4개씩 담아 15상자 팔았다면 남은 딸기는 몇 개입니까?,80 - ( 4 * 15 ),20
남준이네 학교 3학년은 한 반에 21명씩 4개 반이 있습니다. 3학년 학생들에게 공책을 2권씩 나누어 주려고 합니다. 공책은 모두 몇 권 필요합니까?,21 * 4 * 2,168
석진이네 학교 1학년은 한 반에 18명씩 7개 반이 있습니다. 1학년 학생들에게 공책을 4권씩 나누어 주려고 합니다. 공책은 모두 몇 권 필요합니까?,18 * 7 * 4,504
은지네 학교 2학년은 한 반에 30명씩 10개 반이 있습니다. 2학년 학생들에게 사탕을 5개씩 나누어 주려고 합니다. 사탕은 모두 몇 개 필요합니까?,3 * 10 * 5,150
윤기네 학교 1학년은 한 반에 24명씩 9개 반이 있습니다. 1학년 학생들에게 장난감을 3개씩 나누어 주려고 합니다. 장난감은 모두 몇 개 필요합니까?,24 * 9 * 3,648
태형이네 학교 3학년은 한 반에 10명씩 3개 반이 있습니다. 3학년 학생들에게 교과서를 2권씩 나누어 주려고 합니다. 교과서는 모두 몇 권 필요합니까?,10 * 3 * 2,60
"바퀴가 2개인 오토바이가 80대 있고, 바퀴가 4개인 자동차가 42대 있습니다. 오토바이와 자동차 바퀴 수의 차이를 구하시오",abs( 2 * 80 - 4 * 42 ),8
"바퀴가 4개인 택시가 20대 있고, 바퀴가 2개인 자전거가 8대 있습니다. 택시와 자전거 바퀴 수의 차이를 구하시오",abs( 4 * 20 - 2 * 8 ),64
"바퀴가 3개인 자전거가 4대 있고, 바퀴가 4개인 버스가 5대 있습니다. 자전거와 버스 바퀴 수의 차이를 구하시오.",abs( 3 * 4 - 4 * 5 ),8
바퀴가 4개인 자동차가 30대 있고 바퀴가 2개인 자전거가 17대 있습니다. 자동차와 자전거 바퀴 수의 차이를 구하시오.,abs(4 * 30 - 2 * 17),86
바퀴가 4개인 버스가 8대 있고 바퀴가 3개인 자전거가 9대 있습니다. 버스와 자전거 바퀴 수의 차이를 구하시오.,abs(4 * 8 - 3 * 9),5
남준이는 하루에 과학책을 12쪽씩 읽습니다. 남준이가 4일 동안 읽은 과학책은 모두 몇 쪽입니까?,12 * 4,48
민영이는 하루에 수학책을 20쪽씩 읽습니다. 민영이가 7일 동안 읽은 수학책은 모두 몇 쪽입니까?,20 * 7,140
호석이는 하루에 국어책을 3쪽씩 읽습니다. 호석이가 20일 동안 읽은 국어책은 모두 몇 쪽입니까?,3 * 20,60
은지는 하루에 사회책을 5쪽씩 읽습니다. 은지가 10일 동안 읽은 사회책은 모두 몇 쪽입니까?,5 * 10,50
태형이는 하루에 영어책을 27쪽씩 읽습니다. 태형이가 2일 동안 읽은 영어책은 모두 몇 쪽입니까?,27 * 2,54
오늘 과일 가게에서 한 상자에 53개씩 들어 있는 레몬을 3상자 팔았습니다. 오늘 판 레몬은 모두 몇 개입니까?,53 * 3,159
오늘 과일 가게에서 한 상자에 5개씩 들어 있는 사과를 6상자 팔았습니다. 오늘 판 사과는 모두 몇 개입니까?,5 * 6,30
오늘 과일 가게에서 한 상자에 26개씩 들어 있는 키위를 3상자 팔았습니다. 오늘 판 키위는 모두 몇 개입니까?,26 * 3,78
오늘 과일 가게에서 한 상자에 4개씩 들어 있는 수박을 12상자 팔았습니다. 오늘 판 수박은 모두 몇 개입니까?,4 * 12,48
오늘 과일 가게에서 한 상자에 30개씩 들어 있는 체리를 5상자 팔았습니다. 오늘 판 체리는 모두 몇 개입니까?,30 * 5,150
빵이 모두 100개 있습니다. 빵을 한 접시에 6개씩 12접시에 담고 남은 빵은 몇 개 입니까?,100 - 6 * 12,28
사탕이 모두 200개 있습니다. 사탕을 한 봉지에 5개씩 20봉지에 담고 남은 사탕은 몇 개 입니까?,200 - 5 * 20,100
인형이 모두 30개 있습니다. 인형을 한 상자에 2개씩 5상자에 담고 남은 인형은 몇 개 입니까?,30 - 2 * 5,20
젤리가 모두 80개 있습니다. 젤리를 한 봉지에 4개씩 7봉지에 담고 남은 젤리는 몇 개 입니까?,80 - 4 * 7,52
초콜릿이 모두 300개 있습니다. 초콜릿을 한 봉지에 10개씩 25봉지에 담고 남은 초콜릿은 몇 개 입니까?,300 - 10 * 25,50
태형이는 한 봉지에 귤 13개와 감 8개를 담아 친구 5명에게 한 봉지씩 나누어 주었습니다. 태형이가 친구 5명에게 나누어 준 과일은 모두 몇 개인가?,( 13 + 8 ) * 5,105
