Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
"9로 나누어도 4가 남고, 15로 나누어도 4가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + 4 for i in range( 15 , 15 * 9 + 1 ) if i % 15 == 0 and i % 9 == 0 ] )","number0로 나누어도 number1가 남고, number2로 나누어도 number3가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",9 4 15 4 ,,49,1(range)
파이 한 개를 만드는 데 밀가루가 200g필요합니다. 밀가루 2.4kg으로는 똑같은 파이를 몇 개 만들 수 있습니까?,( 2.4 * 1000 ) / 200,파이 number0개를 만드는 데 밀가루가 number1g필요합니다. 밀가루 number2kg으로는 똑같은 파이를 몇 개 만들 수 있습니까?,( number2 * 1000 ) / number1,1 200 2.4 ,,12,0
"굵기가 일정한 통나무를 한 번 자르는 데 4분이 걸린다고 합니다. 이 통나무를 8도막으로 자르는 데 걸리는 시간은 몇 분입니까? (단, 쉬는 시간은 생각하지 않습니다.)",4 * 8,"굵기가 일정number0통나name0를 한 번 자르는 데 number1분이 걸린다고 합니다. 이 통나name1를 number2도막으로 자르는 데 걸리는 시간은 몇 분입니까? (단, 쉬는 시간은 생각하지 않습니다.)",number1 * number2,1 4 8 ,무 ,32,0
한 변의 길이가 7m인 정오각형 모양의 울타리가 있습니다. 이 울타리의 둘레는 몇 m입니까?,7 * 5,한 변의 길이가 number0m인 정오각형 모양의 울타리가 있습니다. 이 울타리의 number1레는 몇 m입니까?,number0 * 5,7 2 ,,35,0
학생 57명에게 귤을 1개씩 나누어 주려고 합니다. 과일 가게에서 귤을 10개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( 57 / 10 ),학생 number0명에게 name0을 number1개씩 나누어 주려고 합니다. 과일 가게에서 name1을 number2개씩 묶음으로 판다면 최소 몇 개를 사야 합니까?,math.ceil( number0 / number2 ),57 1 10 ,귤 ,6,0
1년 동안 어느 축구장에 입장한 관람객의 수가 11683명이라고 합니다. 입장한 관람객의 수를 반올림하여 천의 자리까지 나타내면 몇 명입니까?,round( 11683 / 1000 ) * 1000,number0년 동안 어느 축구장에 입장한 관람객의 수가 number1명이라고 합니다. 입장한 관람객의 수를 반올림하여 number2자리까지 나타내면 몇 명입니까?,round( number1 / number2 ) * number2,1 11683 100 ,,12000,0
8 초과 13 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 + 1 , 13 + 1 ) ] )",number0 초과 number1 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 + 1 , number1 + 1 ) ] )",8 13 ,,55,1(range)
8 이상 13 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 , 13 + 1 ) ] )",number0 이상 number1 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 , number1 + 1 ) ] )",8 13 ,,63,1(range)
8 초과 13 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 + 1 , 13 ) ] )",number0 초과 number1 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 + 1 , number1 ) ] )",8 13 ,,42,1(range)
8 이상 13 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 8 , 13 ) ] )",number0 이상 number1 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 , number1 ) ] )",8 13 ,,50,0
버림하여 십의 자리까지 나타내면 510이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( 510 , 510 + 10 ) ] ) - 510",버림하여 number0자리까지 나타내면 number1이 되는 자연수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.,"max( [ i for i in range( number1 , number1 + number0 ) ] ) - number1",10 510 ,,9,1(십의 자리)
다음 수 'AB95'를 올림하여 십의 자리까지 나타내면 5000이 됩니다. A와 B의 합을 구하시오.,"[ i + j for i in range( 1 , 10 ) for j in range( 0 , 10 ) if math.ceil( ( 1000 * i + 100 * j + 95 ) / 10 ) * 10 == 5000 ] [0]",다음 수 'name0name1number0'를 올림하여 number1자리까지 나타내면 number2이 됩니다. name2와 name3의 합을 구하시오.,"[ i + j for i in range( 1 , number1 ) for j in range( 0 , number1 ) if math.ceil( ( 1000 * i + 100 * j + number0 ) / number1 ) * number1 == number2 ] [0]",95 10 5000 ,A B ,13,"1(십의 자리, 각 자리수, [0], 어려운 문제)"
"자연수 A가 있습니다. '7 * 2.3 < A < 0.9 * 24'일 때, 가능한 A의 개수를 구하시오.","len( [ i for i in range( math.floor( 7 * 2.3 ) , math.ceil( 0.9 * 24 ) ) ] )","자연수 name0가 있습니다. 'number0 * number1 < name1 < number2 * number3'일 때, 가능한 name2의 개수를 구하시오.","len( [ i for i in range( math.floor( number0 * number1 ) , math.ceil( number2 * number3 ) ) ] )",7 2.3 0.9 24 ,A ,6,0
그림과 같이 한 장의 길이가 2.6cm인 색 테이프 10장을 0.8cm씩 겹쳐지도록 한 줄로 길게 이어 붙였습니다. 이어 붙인 색 테이프의 전체 길이는 몇 cm입니까?,2.6 * 10 - 0.8 * ( 10 - 1 ),그림과 같이 한 장의 길이가 number0cm인 색 테이프 number1장을 number2cm씩 겹쳐지도록 한 줄로 길게 이어 붙였습니다. 이어 붙인 색 테이프의 전체 길이는 몇 cm입니까?,number0 * number1 - number2 * ( number1 - 1 ),2.6 10 0.8 ,,18.80,1(겹치는 부분은 -1)
