Question,Equation,Question2,Equation2,Numbers,Names,Answer,comment
어떤 수에 number0를 곱해야 할 것을 잘못하여 더했더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( number1 - number0 ) * number0,어떤 수에 number0를 곱해야 할 것을 잘못하여 더했더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( number1 - number0 ) * 0.5,0.5 0.6 ,,0.05,0
"number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( number1 , number2 , number3 , number4 , number5 ) + min( number1 , number2 , number3 , number4 , number5 )","number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( number1 , number2 , number3 , number4 , number5 ) + min( number1 , number2 , number3 , number4 , number5 )",5 483 509 668 237 125 ,,793,0
"number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보세요.","max( number0 , number1 , number2 ) + min( number0 , number1 , number2 )","number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보세요.","max( number0 , number1 , number2 ) + min( number0 , number1 , number2 )",621 326 745 ,,1071,0
"name0이네 학교에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 많을까요?",'name1' if number0 > number1 else 'name2',"name0이네 학교에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 많을까요?",'name1' if number0 > number1 else 'name2',302 275 ,태형 남학생 여학생 ,남학생,0
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마인가요?","max( number0 , number1 , number2 , number3 ) * min( number0 , number1 , number2 , number3 )","number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마인가요?","max( number0 , number1 , number2 , number3 ) * min( number0 , number1 , number2 , number3 )",61 4 7 72 ,,288,0
"number0개의 수 number1, number2, number3 중에서 가장 큰 수는 name0엇인가요?","max( number1 , number2 , number3 )","number0개의 수 number1, number2, number3 중에서 가장 큰 수는 name0엇인가요?","max( number1 , number2 , number3 )",3 8.6 9.1 8.3 ,무 ,9.10,0
"number0, number1, number2, number3 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )","number0, number1, number2, number3 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )",69 44 32 23 ,,3,0
"도화지에 name0는 길이가 number0cm가 되도록 선분을 그었고, name1는 number1cm가 되도록 선분을 그었습니다. 두 사람 중에서 더 긴 선분을 그은 사람은 누구일까요?",'name1' if number0 > number1 else 'name0',"도화지에 name0는 길이가 number0cm가 되도록 선분을 그었고, name1는 number1cm가 되도록 선분을 그었습니다. 두 사람 중에서 더 긴 선분을 그은 사람은 누구일까요?",'name1' if number0 > number1 else 'name0',3.5 2.8 ,유나 은지 ,은지,0
"number0, number1, number2, number3 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보세요.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )","number0, number1, number2, number3 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보세요.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )",3 6 12 18 ,,6,0
"number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보시오.","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )","number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보시오.","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",248 875 536 ,,627,0
