Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
어떤 수에 0.5를 곱해야 할 것을 잘못하여 더했더니 0.6가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( 0.6 - 0.5 ) * 0.5,어떤 수에 number0를 곱해야 할 것을 잘못하여 더했더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( number1 - number0 ) * 0.5,0.5 0.6 ,,0.05,0
"5개의 수 483, 509, 668, 237, 125가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( 483 , 509 , 668 , 237 , 125 ) + min( 483 , 509 , 668 , 237 , 125 )","number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( number1 , number2 , number3 , number4 , number5 ) + min( number1 , number2 , number3 , number4 , number5 )",5 483 509 668 237 125 ,,793,0
"621, 326, 745 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보세요.","max( 621 , 326 , 745 ) + min( 621 , 326 , 745 )","number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보세요.","max( number0 , number1 , number2 ) + min( number0 , number1 , number2 )",621 326 745 ,,1071,0
"태형이네 학교에는 남학생이 302명, 여학생이 275명 있습니다. 남학생과 여학생 중에서 어느 쪽이 더 많을까요?",'남학생' if 302 > 275 else '여학생',"name0이네 학교에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 많을까요?",'name1' if number0 > number1 else 'name2',302 275 ,태형 남학생 여학생 ,남학생,0
"61, 4, 7, 72 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마인가요?","max( 61 , 4 , 7 , 72 ) * min( 61 , 4 , 7 , 72 )","number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마인가요?","max( number0 , number1 , number2 , number3 ) * min( number0 , number1 , number2 , number3 )",61 4 7 72 ,,288,0
"3개의 수 8.6, 9.1, 8.3 중에서 가장 큰 수는 무엇인가요?","max( 8.6 , 9.1 , 8.3 )","number0개의 수 number1, number2, number3 중에서 가장 큰 수는 name0엇인가요?","max( number1 , number2 , number3 )",3 8.6 9.1 8.3 ,무 ,9.10,0
"69, 44, 32, 23 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( 69 , 44 , 32 , 23 ) // min( 69 , 44 , 32 , 23 )","number0, number1, number2, number3 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )",69 44 32 23 ,,3,0
"도화지에 은지는 길이가 3.5cm가 되도록 선분을 그었고, 유나는 2.8cm가 되도록 선분을 그었습니다. 두 사람 중에서 더 긴 선분을 그은 사람은 누구일까요?",'은지' if 3.5 > 2.8 else '유나',"도화지에 name0는 길이가 number0cm가 되도록 선분을 그었고, name1는 number1cm가 되도록 선분을 그었습니다. 두 사람 중에서 더 긴 선분을 그은 사람은 누구일까요?",'name1' if number0 > number1 else 'name0',3.5 2.8 ,유나 은지 ,은지,0
"3, 6, 12, 18 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보세요.","max( 3 , 6 , 12 , 18 ) // min( 3 , 6 , 12 , 18 )","number0, number1, number2, number3 중에서 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보세요.","max( number0 , number1 , number2 , number3 ) // min( number0 , number1 , number2 , number3 )",3 6 12 18 ,,6,0
"248, 875, 536 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보시오.","max( 248 , 875 , 536 ) - min( 248 , 875 , 536 )","number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보시오.","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",248 875 536 ,,627,0
"8, 40, 12 중 가장 큰 수를 가장 작은 수로 나눈 몫은 얼마인지 쓰시오","max( 8 , 40 , 12 ) // min( 8 , 40 , 12 )","number0, number1, number2 중 가장 큰 수를 가장 작은 수로 나눈 몫은 얼마인지 쓰시오","max( number0 , number1 , number2 ) // min( number0 , number1 , number2 )",8 40 12 ,,5,0
"208, 521, 492 중 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( 208 , 521 , 492 ) + min( 208 , 521 , 492 )","number0, number1, number2 중 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number0 , number1 , number2 ) + min( number0 , number1 , number2 )",208 521 492 ,,729,0
"395, 472, 218 중 가장 큰 수와 가장 작은 수의 차를 구하시오.","max( 395 , 472 , 218 ) - min( 395 , 472 , 218 )","number0, number1, number2 중 가장 큰 수와 가장 작은 수의 차를 구하시오.","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",395 472 218 ,,254,0
"176, 785, 167, 934 중 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( 176 , 785 , 167 , 934 ) + min( 176 , 785 , 167 , 934 )","number0, number1, number2, number3 중 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",176 785 167 934 ,,1101,0
어떤 수를 4로 나누었을 때 나머지가 될 수 있는 가장 큰 수는 얼마입니까?,4 - 1,어떤 수를 number0로 나누었을 때 나머지가 될 수 있는 가장 큰 수는 얼마입니까?,number0 - 1,4 ,,3,1(최대 나머지)
2부터 9까지의 수 중에서 80을 나누어 떨어지게 하는 수는 모두 몇 개인지 구하시오.,"len( [ i for i in range( 2 , 9 + 1 ) if 80 % i == 0 ] )",number0부터 number1까지의 수 중에서 number2을 나누어 떨어지게 하는 수는 모두 몇 개인지 구하시오.,"len( [ i for i in range( number0 , number1 + 1 ) if number2 % i == 0 ] )",2 9 80 ,,4,1(range)
사탕 96개를 한 사람에게 12개씩 주려고 합니다. 몇 명에게 나누어 줄 수 있습니까?,96 // 12,name0 number0개를 한 사람에게 number1개씩 주려고 합니다. 몇 명에게 나누어 줄 수 있습니까?,96 // 12,96 12 ,사탕 ,8,0
"0.5, 0.4, 0.8, 0.3 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( 0.5 , 0.4 , 0.8 , 0.3 ) + min( 0.5 , 0.4 , 0.8 , 0.3 )","number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",0.5 0.4 0.8 0.3 ,,1.10,0
"1.4, 0.9, 0.7, 1.6 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.","max( 1.4 , 0.9 , 0.7 , 1.6 ) - min( 1.4 , 0.9 , 0.7 , 1.6 )","number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.","max( number0 , number1 , number2 , number3 ) - min( number0 , number1 , number2 , number3 )",1.4 0.9 0.7 1.6 ,,0.90,0
24와 32를 어떤 수로 나누면 두 수 모두 나누어 떨어집니다. 어떤 수 중에서 가장 큰 수를 구하시오.,"math.gcd( 24 , 32 )",number0와 number1를 어떤 수로 나누면 두 수 모두 나누어 떨어집니다. 어떤 수 중에서 가장 큰 수를 구하시오.,"math.gcd( number0 , number1 )",24 32 ,,8,0
20의 약수는 모두 몇 개입니까?,"len( [ i for i in range( 1 , 20 + 1) if 20 % i == 0 ] )",number0의 약수는 모두 몇 개입니까?,"len( [ i for i in range( 1 , number0 + 1) if number0 % i == 0 ] )",20 ,,6,1(range)
25부터 50까지의 수 중에서 4의 배수는 모두 몇 개입니까?,"len( [ i for i in range( 25 , 50 + 1 ) if i % 4 == 0 ] )",number0부터 number1까지의 수 중에서 number2의 name0수는 모두 몇 개입니까?,"len( [ i for i in range( number0 , number1 + 1 ) if i % number2 == 0 ] )",25 50 4 ,배 배 ,6,1(range)
"28로 나누어도 3이 남고, 42로 나누어도 3이 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + 3 for i in range( 42 , 42 * 28 + 1 ) if i % 42 == 0 and i % 28 == 0 ] )","number0로 나누어도 number1이 남고, number2로 나누어도 number3이 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",28 3 42 3 ,,87,1(range)
"어떤 수로 88을 나누면 나머지가 4이고, 66을 나누면 나머지가 3입니다. 어떤 수가 될 수 있는 수의 개수를 구하시오.","len( [ i for i in range( 1 , 66 ) if 88 % i == 4 and 66 % i == 3 ] )","어떤 수로 number0을 나누면 나머지가 number1이고, number2을 나누면 나머지가 number3입니다. 어떤 수가 될 수 있는 수의 개수를 구하시오.","len( [ i for i in range( 1 , number2 ) if number0 % i == number1 and number2 % i == number3 ] )",88 4 66 3 ,,2,1
