Question,Equation,answer
냉장고에 요구르트가 76개 들어있습니다. 61개의 냉장고 안에 있는 요구르트는 모두 몇 개일까요?,76 * 61,4636
"냉장고에 요구르트가 10개 들어있습니다. 호석이가 냉장고에서 요구르트 3개를 꺼내 먹었다면, 냉장고 안에 있는 요구르트는 모두 몇 개일까요?",10 - 3,7
"냉장고에 요구르트가 2개 들어있습니다. 민영이가 냉장고에 요구르트를 6개 더 넣었다면, 냉장고 안에 있는 요구르트는 총 몇 개일까요?",2 + 6,8
"냉장고에 딸기맛 요구르트가 12개, 포도맛 요구르트가 23개 있습니다. 냉장고 안에 있는 요구르트는 모두 몇 개일까요?",12 + 23,25
요구르트 18개를 6개의 냉장고에 나누어 넣으려고 합니다. 하나의 냉장고 안에 있는 요구르트는 모두 몇 개일까요?,18 / 6,3
한 상자에는 감이 24개 들어있습니다. 60개의 상자 안에 있는 감은 모두 몇 개일까요?,24 * 60,1440
"한 상자에는 감이 18개 들어있습니다. 지민이가 상자에서 2개의 감을 꺼냈다면, 상자 안에 있는 감은 총 몇 개일까요?",18 - 2,16
"한 박스에 사과가 23개 들어있습니다. 남준이가 박스에 수박을 3통 더 넣었다면, 박스 안에 있는 과일은 총 몇 개일까요?",23 + 3,26
네 박스에 귤이 총 88개 들어있습니다. 한 박스에 들어있는 귤의 갯수는 몇 개일까요?,88 / 4,22
세 바구니에 참외 57개를 나누어 넣으려고 합니다. 한 바구니 안에 있는 참외는 모두 몇 개일까요?,57 / 3,19
"석진, 태형이의 음악 점수는 각각 98점, 18점입니다. 이 둘을 제외한 학급의 음악 점수 평균은 25점 입니다. 석진이네 학급 인원수가 42명일 때, 학급 음악 평균 점수는 몇 점입니까?",( ( 42 - 2 ) * 25 + 98 + 18 ) / 42,26.57
"은지의 수학 점수는 92점입니다. 은지를 포함한 학급의 수학 점수 평균은 68점입니다. 은지의 학급 인원수가 25명일 때, 은지를 제외한 학급의 수학 점수 평균은 몇 점입니까?",( ( 25 * 68 ) - 92 ) / ( 25 - 1 ),67
"남준이, 유나, 태형이의 사회 점수는 각각 10점, 15점, 35점입니다. 이 셋을 제외한 학급의 사회 점수 평균은 20점 입니다. 유나네 학급 인원수가 30명일 때, 학급 사회 평균 점수는 몇 점입니까?",( ( 30 - 3 ) * 20 + 10 + 15 + 35 ) / 30,20
"정국이, 윤기의 국어 점수는 각각 98점, 18점입니다. 이 둘을 제외한 학급의 국어 점수 평균은 25점 입니다. 윤기네 학급 국어 평균 점수가 26점일 때, 학급 인원수는 몇 명입니까?",98 + 18 - 2 * 25,66
"석진, 태형이를 제외한 학급의 도덕 점수 평균은 25점이고 석진, 태형이의 도덕 점수는 각각 98점, 18점입니다. 태형이네 학급 인원수가 42명일 때, 학급 도덕 점수 평균은 몇 점입니까?",( ( 42 - 2 ) * 25 + 98 + 18 ) / 42,26.57
"남준, 지민, 은지, 민영이의 사회 점수는 각각 35점, 82점, 8점, 88점입니다. 이 넷을 제외한 학급의 사회 점수 평균은 53점 입니다. 남준이네 학급 인원수가 18명일 때, 학급 사회 평균 점수는 몇 점입니까?",( ( 18 - 4 ) * 53 + 35 + 82 + 8 + 88 ) / 18,53.06
"남준, 지민, 은지, 민영이를 제외한 학급의 영어 점수 평균은 53점 입니다. 이 넷의 영어 점수가 각각 35점, 82점, 8점, 88점이고 남준이네 학급 인원수가 18명일 때, 학급 영어 점수의 평균은 몇 입니까?",( ( 18 - 4 ) * 53 + 35 + 82 + 8 + 88 ) / 18,53.06
남준이네 학급은 총 18명의 학생으로 이루어져 있습니다. 학생 네 명의 과학 점수 총점이 213점이고 이 네 명을 제외한 학급의 과학 점수 평균이 53점입니다. 이 때 남준이네 학급의 과학 점수 평균이 몇 점입니까?,( ( 18 - 4 ) * 53 + 213 ) / 18,53.06
남준이네 학급은 총 18명의 학생으로 이루어져 있습니다. 학생 네 명의 국어 점수 평균이 53.25점이고 이 네 명을 제외한 학급의 국어 점수 평균이 53점입니다. 남준이네 학급의 국어 점수 평균은 몇 점인가요?,( ( 18 - 4 ) * 53 + ( 53.25 * 4 ) ) / 18,53.06
"남준, 지민, 은지의 체육 점수는 각각 30점, 20점, 30점이고 이 셋을 포함한 학급의 체육 점수 평균은 50점 입니다. 남준이네 학급 인원수가 10명일 때, 이 셋을 제외한 학급 체육 평균 점수는 몇 점입니까?",( ( 50 * 10 ) - 30 - 20 - 30 ) / ( 10 - 3 ),60
17명의 학생들이 한 줄로 줄을 섰습니다. 정국이의 뒤에 14명의 학생들이 서 있습니다. 정국이의 앞에 서 있는 학생은 몇 명입니까?,17 - 14 - 1,2
10명의 사람들이 한 줄로 줄을 섰습니다. 남준이의 앞에 3명의 사람들이 서 있습니다. 남준이의 뒤에 서 있는 사람은 몇 명입니까?,10 - 3 - 1,6
