Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
냉장고에 요구르트가 76개 들어있습니다. 61개의 냉장고 안에 있는 요구르트는 모두 몇 개일까요?,76 * 61,냉장고에 요구르트가 number0개 들어있습니다. number1개의 냉장고 안에 있는 요구르트는 모두 몇 개일까요?,number0 * number1,76 61 ,,4636,0
한 상자에는 감이 24개 들어있습니다. 60개의 상자 안에 있는 감은 모두 몇 개일까요?,24 * 60,한 상자에는 name0이 number0개 들어있습니다. number1개의 상자 안에 있는 name1은 모두 몇 개일까요?,number0 * number1,24 60 ,감 ,1440,0
"석진, 태형이의 음악 점수는 각각 98점, 18입니다. 이 둘을 제외한 학급의 음악 점수 평균은 25점 입니다. 석진이네 학급 인원수가 42명일 때, 학급 음악 평균 점수는 몇 점입니까?",( ( 42 - 2 ) * 25 + 98 + 18 ) / 42,"name0, name1이의 name2 점수는 각각 number0점, number1입니다. 이 number2을 제외한 학급의 name3 점수 평균은 number3점 입니다. name4이네 학급 인원수가 number4명일 때, 학급 name5 평균 점수는 몇 점입니까?",( ( number4 - number2 ) * number3 + number0 + number1 ) / number4,98 18 2 25 42 ,태형 석진 음악 ,26.57,0
"남준, 지민, 은지, 민영이의 사회 점수는 각각 35점, 82점, 8점, 88입니다. 이 넷을 제외한 학급의 사회 점수 평균은 53점 입니다. 남준이네 학급 인원수가 18명일 때, 학급 사회 평균 점수는 몇 점입니까?",( ( 18 - 4 ) * 53 + 35 + 82 + 8 + 88 ) / 18,"name0, name1, name2, name3이의 name4 점수는 각각 number0점, number1점, number2점, number3입니다. 이 number4을 제외한 학급의 name5 점수 평균은 number5점 입니다. name6이네 학급 인원수가 number6명일 때, 학급 name7 평균 점수는 몇 점입니까?",( ( number6 - number4 ) * number5 + number0 + number1 + number2 + number3 ) / number6,35 82 8 88 4 53 18 ,민영 남준 지민 은지 사회 ,53.06,0
17명의 학생들이 한 줄로 줄을 섰습니다. 정국이의 뒤에 14명의 학생들이 서 있습니다. 정국이의 앞에 서 있는 학생은 몇 명입니까?,17 - 14 - 1,number0명의 학생들이 한 줄로 줄을 섰습니다. name0이의 뒤에 number1명의 학생들이 서 있습니다. name1이의 앞에 서 있는 학생은 몇 명입니까?,number0 - number1 - 1,17 14 ,정국 ,2,1 (-1 상수)
65명의 학생들이 한 줄로 줄을 섰습니다. 유나의 앞에 5명의 학생들이 서 있습니다. 유나의 뒤에 서 있는 학생은 몇 명입니까?,65 - 5 - 1,number0명의 학생들이 한 줄로 줄을 섰습니다. name0의 앞에 number1명의 학생들이 서 있습니다. name1의 뒤에 서 있는 학생은 몇 명입니까?,number0 - number1 - 1,65 5 ,유나 ,59,1 (-1 상수)
"달리기 시합에서 태형이는 5등을 했고, 정국이는 7등을 했습니다. 은지는 정국이보다 잘했지만 태형이보다는 못했습니다. 은지의 등수는 몇 등입니까?",5 + 1,"달리기 시합에서 name0이는 number0등을 했고, name1이는 number1등을 했습니다. name2는 name3이보다 잘했지만 name4이보다는 못했습니다. name5의 등수는 몇 등입니까?",number0 + 1,5 7 ,정국 태형 은지 ,6,1 (+1 상수)
키가 큰 사람부터 순서대로 5명이 한 줄로 서 있습니다. 정국이가 앞에서부터 2 번째에 서 있습니다. 키가 작은 사람부터 순서대로 다시 줄을 서면 정국이는 앞에서부터 몇 번째에 서게 됩니까?,5 + 1 - 2,키가 큰 사람부터 순서대로 number0명이 한 줄로 서 있습니다. name0이가 앞에서부터 number1 번째에 서 있습니다. 키가 작은 사람부터 순서대로 다시 줄을 서면 name1이는 앞에서부터 몇 번째에 서게 됩니까?,number0 + 1 - number1,5 2 ,정국 ,4,1 (+1 상수)
"8개의 과일 바나나, 배, 파인애플, 수박, 복숭아, 체리, 딸기, 귤 중에서 7가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 7 )","number0개의 과일 바나나, name0, 파인애플, name1, 복숭아, 체리, 딸기, name2 중에서 number1가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( number0 , number1 )",8 7 ,배 귤 수박 배 ,8,0
"8개의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플 중에서 5가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 5 )","number0개의 과일 name0, name1, 바나나, 참외, name2, 복숭아, name3, 파인애플 중에서 number1가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( number0 , number1 )",8 5 ,배 감 귤 포도 배 ,56,0
