Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
색종이 89장을 학생 82명에게 똑같이 나누어주려고 합니다. 한 학생에게 최대 몇 장씩 줄 수 있는지 차례대로 쓰시오.,89 // 82,색종이 number0장을 학생 number1명에게 똑같이 나누어주려고 합니다. 한 학생에게 최대 몇 장씩 줄 수 있는지 차례대로 쓰시오.,number0 // number1,89 82 ,,1,0
우표 98장을 봉투 한 개에 97장 씩 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 97,우표 number0장을 봉투 number1개에 number2장 씩 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,number0 % number2,98 1 97 ,,1,0
83분에 82㎞를 달리는 오토바이와 79분에 64km를 달리는 자전거가 있습니다. 42분 동안 같은 속도로 달렸다면 오토바이는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,number0분에 number1㎞를 달리는 name0와 number2분에 number3km를 달리는 name1가 있습니다. number4분 동안 같은 속도로 달렸다면 name2는 name3보다 몇㎞ 더 많이 가는 지를 쓰시오.,( number1 / number0 - number3 / number2 ) * number4,83 82 79 64 42 ,오토바이 자전거 ,7.47,0
공이 한 통에 98개씩 84통 있습니다. 이 공을 64상자에 똑같이 나누어 담으려고 합니다. 한 상자에 몇 개씩 넣어야 하는지 답을 쓰시오.,98 * 84 / 64,공이 number0통에 number1개씩 number2통 있습니다. 이 공을 number3상자에 똑같이 나누어 담으려고 합니다. 한 상자에 몇 개씩 넣어야 하는지 답을 쓰시오.,number1 * number2 / number3,1 98 84 64 ,,128.62,0
"남준반의  학생 수는 79명이었다. 전학을 온 학생은 57명, 전학을 간 학생은 43명이라고 한다. 남준반 총 학생 수로 옳은 답은 어느 것입니까?",79 + 57 - 43,"name0반의  학생 수는 number0명이었다. 전학을 온 학생은 number1명, 전학을 간 학생은 number2명이라고 한다. name1반 총 학생 수로 옳은 답은 어느 것입니까?",number0 + number1 - number2,79 57 43 ,남준 ,93,0
"지민이네 반 여학생 89명은 81명씩 모둠을 만들었고, 남학생 68명은 64명씩 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠인지 쓰시오.",89 / 81 + 68 / 64,"name0이네 반 name1 number0명은 number1명씩 모둠을 만들었고, name2 number2명은 number3명씩 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠인지 쓰시오.",number0 / number1 + number2 / number3,89 81 68 64 ,지민 남학생 여학생 ,2.16,0
"남학생 82명은 69명씩 팀을 만들고, 여학생 65명은 55명씩 팀을 만들었다. 만든 팀은 모두 몇 팀인지 구해 보시오.",82 / 69 + 65 / 55,"name0 number0명은 number1명씩 팀을 만들고, name1 number2명은 number3명씩 팀을 만들었다. 만든 팀은 모두 몇 팀인지 구해 보시오.",number0 / number1 + number2 / number3,82 69 65 55 ,남학생 여학생 ,2.37,0
"5학년 97～88반 학생들이 현장체험학습을 떠났습니다. 각 반 학생들은 모두 60명씩이었고, 숙소에 도착해 보니 한 방에는 59명씩 잘 수 있었습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?",( 88 - 97 ) * 60 / 59,"number0학년 number1～number2반 학생들이 현장체험학습을 떠났습니다. 각 반 학생들은 모두 number3명씩이었고, 숙소에 도착해 보니 한 방에는 number4명씩 잘 수 있었습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?",( number2 - number1 ) * number3 / number4,5 97 88 60 59 ,,-9.15,0
"유나가 가진 끈은 99cm이고, 정국이는 길이가 84cm인 끈을 똑같이 73개로 나눈 것 중 하나를 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",99 / ( 84 / 73 ),"name0가 가진 끈은 number0cm이고, name1이는 길이가 number1cm인 끈을 똑같이 number2개로 나눈 것 중 number3를 가지고 있습니다. name2가 가진 끈은 name3이가 가진 끈의 몇 name4인지 구해 보시오.",number0 / ( number1 / number2 ),99 84 73 1 ,유나 정국 배 배 ,86.04,0
"4학년 학생들이 박물관으로 현장학습을 갔습니다. 우리 반은 88명 중에서 78명이 가지 않았고, 버스에는 운전기사와 선생님, 그리고 문화 해설 도우미 77명이 타셨습니다. 버스에는 모두 몇 명이 타고 있는지 쓰시오.",88 - 78 + 2 + 77,"number0학년 학생들이 name0으로 현장학습을 갔습니다. 우리 반은 number1명 중에서 number2명이 가지 않았고, name1에는 운전기사와 선생님, 그리고 문화 해설 도우미 number3명이 타셨습니다. name2에는 모두 몇 명이 타고 있는지 쓰시오.",number1 - number2 + 2 + number3,4 88 78 77 ,박물관 버스 ,89,운전기사와 선생님 : 2
 기차가 처음 역에서 89명을 태우고 출발했다. 다음 역에서 86명이 내리고 82명이 탔다면 지금 기차에 타고 있는 사람은 몇 명인지 구해 보시오.,89 - 86 + 82, name0가 처음 역에서 number0명을 태우고 출발했다. 다음 역에서 number1명이 내리고 number2명이 탔다면 지금 name1에 타고 있는 사람은 몇 명인지 구해 보시오.,number0 - number1 + number2,89 86 82 ,기차 ,85,0
