Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,수족관에 수컷 돌고래는 없고 암컷 돌고래만 number0마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,number0,3,,3,0
수족관에 암컷 돌고래는 없고 수컷 돌고래만 3마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,수족관에 암컷 돌고래는 없고 수컷 돌고래만 number0마리 있습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,number0,3,,3,0
수족관에 돌고래가 3마리 있습니다. 이 중 암컷 돌고래는 3마리 입니다. 수컷 돌고래는 몇 마리 인가요?,3 - 3,수족관에 돌고래가 number0마리 있습니다. 이 중 암컷 돌고래는 number1마리 입니다. 수컷 돌고래는 몇 마리 인가요?,number0 - number1,3 3,,0,0
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 암컷 돌고래와 수컷 돌고래 중 어떤 것이 더 많나요?,'암컷 돌고래' if 3 > 0 else '수컷 돌고래',수족관에 수컷 돌고래는 없고 암컷 돌고래만 number0마리 있습니다. 암컷 돌고래와 수컷 돌고래 중 어떤 것이 더 많나요?,'암컷 돌고래' if number0 > 0 else '수컷 돌고래',3,,암컷 돌고래,0
수족관에 수컷 돌고래는 없고 암컷 돌고래만 3마리 있습니다. 그 중 1마리가 바다로 방사되었습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,3,수족관에 수컷 돌고래는 없고 암컷 돌고래만 number0마리 있습니다. 그 중 number1마리가 바다로 방사되었습니다. 수족관에 있는 돌고래는 모두 몇 마리일까요?,number0 - number1,3 1,,2,0
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 윤기가 모은 딱지는 모두 몇 장일까요?",2 + 6,"name0는 딱지를 어제 number0장, 오늘 number1장 모았습니다. name1가 모은 딱지는 모두 몇 장일까요?",number0 + number1,"2 6 ","윤기 ",8,0
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 남준이는 딱지가 4개 있습니다. 윤기가 모은 딱지는 모두 몇 장일까요?",2 + 6,"name0는 딱지를 어제 number0장, 오늘 number1장 모았습니다. name1이는 딱지가 number2개 있습니다. name0가 모은 딱지는 모두 몇 장일까요?",number0 + number1,2 6 4,윤기 남준,8,0
윤기는 딱지를 어제 6장을 모았고 오늘 2장을 잃었습니다. 윤기가 모은 딱지는 모두 몇 장일까요?,6 - 2,name0는 딱지를 어제 number0장을 모았고 오늘 number1장을 잃었습니다. name0가 모은 딱지는 모두 몇 장일까요?,number0 - number1,6 2,윤기,4,0
윤기는 딱지를 어제 2장 모았습니다. 오늘 6장 모았다면 윤기가 모은 딱지는 모두 몇 장일까요?,2 + 6,name0는 딱지를 어제 number0장 모았습니다. 오늘 number1장 모았다면 name0가 모은 딱지는 모두 몇 장일까요?,number0 + number1,2 6,윤기,8,0
"윤기는 딱지를 어제 2장, 오늘 6장 모았습니다. 윤기가 어제 모은 딱지는 모두 몇 장일까요?",2,"name0는 딱지를 어제 number0장, 오늘 number1장 모았습니다. name0가 어제 모은 딱지는 모두 몇 장일까요?",number0,2 6,윤기,2,0
공원에 남학생 6명과 여학생 4명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?,6 - 4,공원에 name0 number0명과 name1 number1명이 있습니다. name2은 name3보다 몇 명 더 많을까요?,number0 - number1,"6 4 ","남학생 여학생 ",2,0
공원에 남학생 6명과 여학생 4명이 있습니다. 공원에는 몇 명의 학생이 있나요?,6 + 4,공원에 남학생 number0명과 여학생 number1명이 있습니다. 공원에는 몇 명의 학생이 있나요?,number0 + number1,6 4,,10,0
공원에 남학생 6명과 여학생 4명이 있습니다. 잠시 뒤 남학생이 2명 더 왔다면 남학생은 여학생보다 몇 명 더 많을까요?,6 + 2 - 4,공원에 남학생 number0명과 여학생 number1명이 있습니다. 잠시 뒤 남학생이 number2명 더 왔다면 남학생은 여학생보다 몇 명 더 많을까요?,number0 + number2 - number1,6 4 2,,8,0
공원에 여학생 4명과 남학생 6명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?,6 - 4,공원에 여학생 number0명과 남학생 number1명이 있습니다. 남학생은 여학생보다 몇 명 더 많을까요?,number1 - number0,4 6,,2,0
공원에 남학생 6명이 있습니다. 공원에 학생이 총 10명 있다면 여학생은 몇 명인가요?,10 - 6,공원에 남학생 number0명이 있습니다. 공원에 학생이 총 number1명 있다면 여학생은 몇 명인가요?,number1 - number0,6 10,,4,0
참새 5마리가 나뭇가지에 앉아 있었는데 그중에서 5마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?,5 - 5,참새 number0마리가 나뭇가지에 앉아 있었는데 그중에서 number1마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?,number0 - number1,5 5,,0,0
참새 5마리가 나뭇가지에 앉아 있었는데 3마리가 더 날라왔습니다. 나뭇가지에 참새는 몇 마리일까요?,5 + 3,참새 number0마리가 나뭇가지에 앉아 있었는데 number1마리가 더 날라왔습니다. 나뭇가지에 참새는 몇 마리일까요?,number0 + number1,5 3,,8,0
참새 5마리가 나뭇가지에 앉아 있습니다. 그중에서 5마리가 날아갔다면 나뭇가지에 남은 참새는 몇 마리일까요?,5 - 5,참새 number0마리가 나뭇가지에 앉아 있습니다. 그중에서 number1마리가 날아갔다면 나뭇가지에 남은 참새는 몇 마리일까요?,number0 - number1,5 5,,0,0
참새 5마리가 나뭇가지에 앉아 있었는데 몇 마리가 날라갔습니다. 나뭇가지에 남은 참새가 3마리 일 때 날아간 참새는 몇 마리일까요?,5 - 3,참새 number0마리가 나뭇가지에 앉아 있었는데 몇 마리가 날라갔습니다. 나뭇가지에 남은 참새가 number1마리 일 때 날아간 참새는 몇 마리일까요?,number0 - number1,5 3,,2,0
참새 5마리가 나뭇가지에 앉아 있었는데 그중에서 5마리가 날아갔습니다. 참새의 다리가 2개라면 나뭇가지에 남은 참새는 몇 마리일까요?,5 - 5,참새 number0마리가 나뭇가지에 앉아 있었는데 그중에서 number1마리가 날아갔습니다. 참새의 다리가 number2개라면 나뭇가지에 남은 참새는 몇 마리일까요?,number0 - number1,5 5 2,,0,0
지민이의 나이는 8살이고 동생의 나이는 7살 입니다. 지민이는 동생보다 몇 살 더 많나요?,8 - 7,name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. name1이는 동생보다 몇 살 더 많나요?,number0 - number1,8 7,지민,1,0
"지민이의 나이는 8살입니다. 동생의 나이가 7살 일 때, 지민이는 동생보다 몇 살 더 많나요?",8 - 7,"name0이의 나이는 number0살입니다. 동생의 나이가 number1살 일 때, name0이는 동생보다 몇 살 더 많나요?",number0 - number1,8 7,지민,1,0
지민이의 나이는 8살이고 동생의 나이는 7살 입니다. 지민이와 동생의 나이의 합은 얼마인가요?,8 + 7,name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. name0이와 동생의 나이의 합은 얼마인가요?,number0 + number1,8 7,지민,15,0
지민이의 나이는 8살이고 동생보다 1살 많습니다. 동생은 몇 살 인가요?,8 - 1,name0이의 나이는 number0살이고 동생보다 number1살 많습니다. 동생은 몇 살 인가요?,number0 - number1,8 1,지민,7,0
지민이의 나이는 8살이고 동생의 나이는 7살 입니다. 동생은 지민이보다 몇 살 더 어린가요?,8 - 7,name0이의 나이는 number0살이고 동생의 나이는 number1살 입니다. 동생은 name0이보다 몇 살 더 어린가요?,number0 - number1,8 7,지민,1,0
합이 6이고 차가 4인 두 수가 있습니다. 두 수 중에서 더 큰 수를 구하세요,( 6 + 4 ) / 2,합이 number0이고 차가 number1인 number2 수가 있습니다. number3 수 중에서 더 큰 수를 구하세요,( number0 + number1 ) / number3,6 4 2 2,,5,0
