Question,Equation,Answer,fold
윤기와 지민이는 똑같은 우유를 한 병씩 가지고 있습니다. 윤기는 전체의 4/5만큼 마셨고 지민이는 전체의 6/7만큼 마셨습니다. 누가 우유를 더 많이 남겼는지 구하세요.,'윤기' if 4 / 5 < 6 / 7 else '지민',윤기,1
"길이가 52cm인 철사를 사용하여 정사각형 한 개를 만들었습니다. 남은 철사가 12cm일때, 만든 정사각형의 한 변은 몇 cm입니까?",( 52 - 12 ) / 4,10,8
호석이와 석진이가 가위바위보를 하는데 둘 다 가위를 냈다. 펼친 손가락은 몇 개인가?,2 * 2,4,5
윤기네 과수원에 복숭아 나무는 378그루가 있고 사과나무는 215그루가 있을 때 전체 나무는 몇 그루가 있습니까?,378 + 215,593,9
마당에 참새가 40마리 있었는데 잠시 후 16마리가 날아갔습니다. 마당에 남아있는 참새는 몇 마리일까요?,40 - 16,24,9
"윤기는 35.0개의 조개를 발견했고 17.0개의 조개를 버렸을 때, 얼마나 많은 조개를 갖고 있습니까?",35.0 - 17.0,18,7
"사과박스 9.0개 중 3.0개를 동생들이 가지고, 각 사과박스에는 2.0개의 사과가 들어있습니다. 총 사과의 갯수는 몇 개 입니까?",2.0 * ( 9.0 - 3.0 ),12,7
지민이는 은행 계좌에 25000.0달러를 가지고 있습니다. 매월 그녀는 1500.0달러를 사용합니다. 지민이가 8.0개월 이후 갖고 있는 돈은 얼마입니까?,25000.0 - 1500.0 * 8.0,13000,1
"과자를 포장하는데 아침에는 878개, 저녁에는 494개 포장했다면 오늘 몇 개의 과자를 포장했을까요?",874 + 494,1368,9
연필 3타 중 27자루를 팔았다고 한다. 남아있는 연필은 모두 몇 자루인지 구하시오.,( 12 * 3 ) - 27,9,1
"버스에 7명이 타고 있었습니다. 슈퍼마켓 앞에서 2명이 내리고, 우체국 앞에서 3명이 내렸습니다. 버스에 남은 사람은 몇 명일가요?",7 - 2 - 3,2,8
"자연수 A가 있습니다. '7 * 2.3 < A < 0.9 * 24'일 때, 가능한 A의 개수를 구하시오.","len( [ i for i in range( math.floor( 7 * 2.3 ) , math.ceil( 0.9 * 24 ) ) ] )",6,2
꽃 6송이가 심겨진 화분 31개가 있다. 꽃은 모두 몇 송이인가?,6 * 31,186,8
"사탕은 한 봉지에 37개씩 들어있고 과자는 한 봉지에 28개씩 들어있습니다. 사탕은 6봉지, 과자는 8봉지가 있다면 더 많은 것은 무엇인가?",'사탕' if 37 * 6 > 28 * 8 else '과자',과자,4
"4개의 수 176, 785, 167, 934가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( 176 , 785 , 167 , 934 ) + min( 176 , 785 , 167 , 934 )",1101,8
정국이는 처음에 500원을 가지고 있다가 150원짜리 사탕을 하나 사먹었고 어머니께 용돈 350원을 받았습니다. 유정이는 100원을 가지고 있었습니다. 정국이가 지금 가지고 있는 돈은 얼마입니까?,500 - 150 + 350,700,2
선물 하나를 포장하는 데 434cm의 빨간 리본이 필요하고 186cm의 노란 리본이 필요합니다. 빨간 리본은 노란 리본보다 몇 cm 더 필요합니까?,434 - 186,248,6
"화단을 똑같이 10부분으로 나누고 화단의 5/10에는 장미를, 0.3에는 튤립을 심었습니다. 마지막으로 화단의 나머지 부분에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / 10 ) + 0.3 ),0.2,1
"남준반의  학생 수는 79명이었다. 전학을 간 학생은 57명, 전학을 온 학생은 43명이라고 한다. 남준반 총 학생 수로 옳은 답은 어느 것입니까?",79 - 57 + 43,65,2
"한 상자에는 라면이 87개 들어있는데, 66개의 상자 안에 있는 라면은 모두 몇 개일까요?",87 * 66,5742,8
"A/39 의 몫이 3이고 나머지는 B일때, A에 들어갈 수 있는 수 중에서 가장 큰 수를 구하시오.",39 * 3 + 38,155,7
정국이의 생일 파티에 4.0개의 카드와 44.0개의 편지가 있습니다. 하루에 6.0개식 사용할 때 몇 일동안 사용할 수 있습니까?,( 4.0 + 44.0 ) / 6.0,8,1
"유나는 5.0개의 풍선, 윤기는 6.0개의 풍선을 갖고 있습니다. 유정이는 7.0개의 노란색 풍선을 갖고 있을 때, 총 풍선 갯수는 몇 개 입니까?",5.0 + 6.0 + 7.0,18,7
"남준이는 우표를 100장씩 8묶음, 10장씩 2묶음 낱개로 5장 가지고 있습니다. 남준이가 가지고 있는 우표는 모두 몇 장인가?",100 * 8 + 10 * 2 + 5,825,6
"28로 나누어도 3이 남고, 42로 나누어도 3이 남는 어떤 수가 있습니다. 그 중 가장 작은 수를 구해 보세요.","min( [ i + 3 for i in range( 42 , 42 * 28 + 1 ) if i % 42 == 0 and i % 28 == 0 ] )",87,4
금붕어 27마리를 어항 9개에 똑같이 나누어 담으려고 합니다. 어항 한 개에 금붕어를 몇 마리씩 담아야 하는가?,27 / 9,3,4
"마을에서 민영이는 7.0개의 볼펜을 샀습니다. 다른 마을에서 3.0개의 볼펜을 샀고, 볼펜은 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),50,4
참새 5마리가 나뭇가지에 앉아 있었는데 3마리가 더 날라왔습니다. 나뭇가지에 참새는 몇 마리일까요?,5 + 3,8,1
"한 상자에 참외는 17개씩 담을 수 있고, 오이는 38개씩 담을 수 있습니다. 참외 408개와 오이 570개를 각각 상자에 담았을 때 참외가 몇 상자 더 많은 지 써라.",( 408 / 17 ) + ( 570 / 38 ),39,2
1에서 84까지 숫자가 각각 적힌 카드 84장 중에서 한 장의 카드를 뽑으려고 한다. 68의 배수가 나오는 경우의 수를 구하여라.,84 // 68,1,6
"유나는 12.0개의 상자를 갖고 있습니다. 각 상자에는 10.0개의 병이 들어 있을 때, 유나가 가진 병의 갯수는 총 몇 개 입니까?",12.0 * 10.0,120,4
연필 3타를 6명의 어린이에게 똑같이 나누어 주려면 한 사람에게 나누어 주는 연필은 몇 자루인지 구해라.,( 12 * 3 ) / 6,6,1
"5, 0.5, 12, 4.1 중에서 두 번째로 큰 수와 가장 큰 수의 곱을 구하시오.","sorted( [ 5 , 0.5 , 12 , 4.1 ] , reverse = True ) [0] * sorted( [ 5 , 0.5 , 12 , 4.1 ] , reverse = True ) [1]",60,2
일정한 양의 물이 나오는 수도로 150l인 물탱크에 물을 받고 있습니다. 오후 3시까지 전체의 0.3을 받았고 오후 6시까지 전체의 0.9를 받았습니다. 한 시간 동안 전체의 얼마를 채울 수 있습니까?.,( 0.9 - 0.3 ) / ( 6 - 3 ),0.2,8
수영장에 어른이 189명 있습니다. 어린이와 어른을 합하면 모두 537명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348,7
한 뼘의 길이가 약 11 cm이고 지민이가 책상의 짧은 쪽의 길이를 뼘으로 재었더니 3뼘이었습니다. 책상의 짧은 쪽의 길이는 약 몇 cm인가요?,3 * 11,33,3
"정국이는 길이가 84cm인 끈을 똑같이 73개로 나눈 것 중 하나를 가지고 있고, 유나는 99cm의 끈을 똑같이 33개로 나눈 것 중 하나를 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",( 99 / 33 ) / ( 84 / 73 ),2.6,6
책을 유나는 10시간 동안 50쪽 읽었고 정국는 7시간 동안 119쪽 읽었습니다. 한 시간 동안 읽은 쪽수의 평균이 더 많은 사람은 누구입니까?,'유나' if 50 / 10 > 119 / 7 else '정국',정국,5
체육관에 야구공이 3개 있고 야구공은 축구공보다 2개 더 적게 있습니다. 체육관에 있는 축구공과 야구공은 모두 몇 개일까요?,3 + ( 3 - 2 ),4,5
"3, 6, 12, 18 중에서 가장 큰 수와 가장 작은 수의 덧셈을 쓰시오","max( 3 , 6 , 12 , 18 ) + min( 3 , 6 , 12 , 18 )",21,2
어떤 수에서 19를 뺄 것을 잘못하여 더했더니 50이 되었습니다. 바르게 계산하면 얼마일까요?,50 - 19 - 19,12,2
13개씩 일곱상자에 감을 담고 나니 감 8개가 남았다. 감은 모두 몇 개입니까?,13 * 7 + 8,99,3
어떤 수를 6으로 나누었더니 몫이 2가 되었습니다. 어떤 수를 3으로 나눈 몫은 얼마인지 구하시오.,6 * 2 / 3,4,6
"위인전을 석진이는 27쪽 읽고, 정국이는 35쪽을 읽었습니다. 위인전을 더 많이 읽은 사람은 누구일까요?",'석진' if 27 > 35 else '정국',정국,4
"석진이는 꽃집에서 장미를 4송이, 백합을 3송이 샀습니다. 석진이는 장미와 백합 중 어떤 것을 더 많이 샀나요?",'장미' if 4 > 3 else '백합',장미,7
윤기네 학교 남학생은 412명이고 여학생은 남학생보다 83명이 적습니다. 윤모네 학생은 모두 100명입니다. 윤기네 학교 학생은 모두 몇 명입니까?,412 + ( 412 - 83 ),741,5
봉투에 만원짜리 지폐 3장과 천원짜리 지폐 2장이 있습니다. 총 얼마인가요?,10000 * 3 + 1000 * 2,32000,8
민영이네 학교 남학생은 530명이고 여학생은 417명입니다. 민기네 학생은 모두 600명입니다. 남학생은 여학생보다 몇 명 더 많습니까?,530 - 417,113,9
30개의 사탕이 들어있는 상자가 5개 있다고 한다. 사탕을 3명의 사람이 나누어 가진다면 한 사람 당 몇 개의 사탕을 나누어 가질 수 있는가?,( 30 * 5 ) / 3,50,1
"10초 동안 수도꼭지 A, B, C에서 나온 물의 양이 각각 0.2L, 0.5L, 0.7L라고 할 때, 수도꼭지 A, B, C에서 10초 동안 받은 물의 양은 모두 몇 L일까요?",0.2 + 0.5 + 0.7,1.4,2
"어떤 수로 88을 나누면 나머지가 4이고, 66을 나누면 나머지가 3입니다. 어떤 수가 될 수 있는 수의 개수를 구해라.","len( [ i for i in range( 1 , 66 ) if 88 % i == 4 and 66 % i == 3 ] )",2,2
시장에서 달걀 13개를 사왔습니다. 냉장고에 있는 달걀이 모두 30개가 되었습니다. 처음 냉장고에 있던 달걀은 몇 개인가요?,30 - 13,17,2
"자연수 배열 35, 67, 99, 131 의 규칙에 따라 131 다음에 오는 수를 예측하시오.",131 + ( 67 - 35 ),163,8
3권의 동화책이 있다고 한다. 2권의 동화책을 더 가져오면 모두 몇권의 동화책이 있을까?,3 + 2,5,3
길이가 36cm인 철사를 사용하여 가장 큰 정삼각형 하나를 만들었습니다. 만든 정삼각형의 한 변은 몇 cm입니까?,36 / 3,12,6
"자연수를 규칙에 따라 4, 7, 10, 13, A, 19로 배열하였습니다. A에 알맞은 수를 구하시오.","( [ 4 , 7 , 10, 13 ] [-1] + [ 19 ] [0] ) / 2",16,1
"색종이를 윤기는 67장, 민영이는 69장, 석진이는 64장을 가지고 있습니다. 색종이를 가장 적게 가지고 있는 사람은 누구일까요?",'윤기' if 67 < 69 and 67 < 64 else '민영' if 69 < 64 else '석진',석진,9
"5개의 수 1.4, 9/10, 1.1, 0.5, 13/10이 있습니다. 이 중에서 0.9보다 큰 수는 모두 몇 개입니까?","len( [ i for i in [ 1.4 , 9/10 , 1.1 , 0.5 , 13/10 ] if i > 0.9 ] )",3,3
"수 카드 5, 8, 2, 4가 있습니다. 이 카드를 한 번씩 사용하여 두 자리 수를 만들려고 합니다. 만들 수 있는 수 중에서 가장 큰 수와 가장 작은 수의 합을 구하세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 5 , 8 , 2 , 4 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 5 , 8 , 2 , 4 ] ) ] ] [0]",1099,4
"유정이는 53.0권의 문제집을 갖고 있습니다. 석진이가 16.0개의 문제집을 훔쳤을 때, 유정이는 몇 권의 문제집을 갖고 있습니까?",53.0 + 16.0,69,5
유나는 은행 계좌에 25333.0달러를 가지고 있습니다. 매월 그녀는 60.0달러를 사용합니다. 지민이가 12.0개월 이후 갖고 있는 돈은 얼마입니까?,25333 - 60.0 * 12.0,24613,3
"한 통에 10개씩 들어 있는 단추가 60통 있습니다. 여기서 2통을 썼을때, 단추는 모두 몇 개일까요?",10 * 60 - 10 * 2,580,3
"호석이는 479.0개의 연필을 가지고 있습니다. 134.0개를 친구들에게 나누어 주었을 때, 총 몇 개의 연필을 갖고 있습니까?",479.0 - 134.0,345,1
"3, 6, 12, 18 중에서 가장 큰 수를 가장 작은 수로 나눈 나머지는 얼마입니까?","max( 3 , 6 , 12 , 18 ) % min( 3 , 6 , 12 , 18 )",0,5
"귤을 현아는 9개, 지훈이는 4개 먹었습니다. 누가 귤을 더 많이 먹었나요?",'현아' if 9 > 4 else '지훈',현아,8
"유정이네 집은 배를 504개를 수확하였고, 호석이네 집은 716개를 수확하였습니다. 유정이네 집은 호석이네 집보다 배를 몇 개 덜 수확하였습니까?",716 - 504,212,3
어떤 수를 9로 잘못나누어 4가 나왔다면 그 수를 6으로 나누었을 때 몫이 얼마가 나오겠는가?,( 9 * 4 ) / 6,6,8
