Question,Equation,Question2,Equation2,Numbers,Names,answer,comment
유정이는 색종이를 6장 가지고 있었습니다. 이모가 유정이에게 새로운 색종이 3장을 주었고 1장을 사용하였습니다. 유정이에게 남은 색종이는 몇 장일까요?,6 + 3 - 1,name0이는 색종이를 number0장 가지고 있었습니다. 이모가 name1이에게 새로운 색종이 number1장을 주었고 number2장을 사용하였습니다. name2이에게 남은 색종이는 몇 장일까요?,number0 + number1 - number2,6 3 1 ,유정 ,8,0
배 14개를 두 상자에 나누어 담으려고 합니다. 배를 한 상자에 6개 담으면 다른 상자에는 몇 개 담아야 하는가?,14 - 6,name0 number0개를 두 상자에 나누어 담으려고 합니다. name1를 한 상자에 number1개 담으면 다른 상자에는 몇 개 담아야 하는가?,number0 - number1,14 6 ,배 배 ,8,0
빈 병을 한 봉지에 10개씩 담으니 4봉지가 되고 낱개 5개가 남았습니다. 빈 병은 모두 몇 개인가?,10 * 4 + 5,빈 병을 한 봉지에 number0개씩 담으니 number1봉지가 되고 낱개 number2개가 남았습니다. 빈 병은 모두 몇 개인가?,number0 * number1 + number2,10 4 5 ,,45,0
"무를 지민이는 28개, 태형이는 34개 캤습니다. 무를 더 많이 캔 친구는 누구일까요?",'지민' if 28 > 34 else '태형',"name0를 name1이는 number0개, name2이는 number1개 캤습니다. name3를 더 많이 캔 친구는 누구일까요?",'name1' if number0 > number1 else 'name0',28 34 ,태형 지민 무 ,태형,0
어머니께서 달걀을 10개씩 묶음 5개 사오셨습니다. 어머니께서 사 오신 달걀은 모두 몇 개일까요?,10 * 5,어머니께서 name0을 number0개씩 묶음 number1개 사오셨습니다. 어머니께서 사 오신 name1은 모두 몇 개일까요?,number0 * number1,10 5 ,달걀 ,50,0
사람들이 번호 순서대로 줄을 섰습니다. 지민이가 38번이라면 지민이 바로 앞에 서 있는 사람은 몇 번일까요?,38 - 1,사람들이 번호 순서대로 줄을 섰습니다. name0이가 number0번이name1 name2이 바로 앞에 서 있는 사람은 몇 번일까요?,number0 - 1,38 ,지민 라면 ,37,0
색종이를 민영이는 26장 가지고 있고 태형이는 29장 가지고 있습니다. 색종이를 더 많이 가진 사람은 누구인가요?,'민영' if 26 > 29 else '태형',색종이를 name0이는 number0장 가지고 있고 name1이는 number1장 가지고 있습니다. 색종이를 더 많이 가진 사람은 누구인가요?,'name0' if number0 > number1 else 'name1',26 29 ,민영 태형 ,태형,0
사탕을 호석이는 2개 남준이는 5개 가지고 있습니다. 사탕을 더 많이 가지고 있는 사람은 누구입니까?,'호석' if 2 > 5 else '남준',name0을 name1이는 number0개 name2이는 number1개 가지고 있습니다. name3을 더 많이 가지고 있는 사람은 누구입니까?,'name1' if number0 > number1 else 'name0',2 5 ,남준 호석 사탕 ,남준,0
사람들이 번호 순서대로 줄을 섰습니다. 지민이가 38번이라면 지민이 바로 뒤에 서 있는 사람은 몇 번일까요?,38 + 1,사람들이 번호 순서대로 줄을 섰습니다. name0이가 number0번이name1 name2이 바로 뒤에 서 있는 사람은 몇 번일까요?,number0 + 1,38 ,지민 라면 ,39,1 (+1 상수)
8명의 친구가 달리기 시합을 하였습니다. 유나는 결승점에 꼴찌로 도착했습니다. 유나는 앞에서 몇째로 들어왔나요?,8 - 1 + 1,number0명의 친구가 달리기 시합을 하였습니다. name0는 결승점에 꼴찌로 도착했습니다. name1는 앞에서 몇째로 들어왔나요?,number0 - 1 + 1,8 ,유나 ,8,1 (+1 상수)
