Question,Equation,answer
각 컵에는 8.0리터의 물이 있습니다. 컵 33.0개에는 총 몇 리터의 물이 있습니까?,8.0 * 33.0,264
각 그릇에는 8.0리터의 물이 있습니다. 그릇 33.0개에는 총 몇 리터의 물이 있습니까?,8.0 * 33.0,264
각 컵에 8.0리터의 물이 있다고하면 컵 33.0개에는 총 몇 리터의 물이 있습니까?,8.0 * 33.0,264
각 컵에는 8.0리터의 음료수가 있습니다. 컵 33.0개에는 총 몇 리터의 음료수가 있습니까?,8.0 * 33.0,264
컵 33개에 264리터의 물이 있다고하면 컵 1개에는 몇 리터의 물이 있습니까?,264 / 33,8
"지민이는 8.0박스의 크레용을 갖고 있습니다. 각 상자에는 7.0개의 크레용이 있을 때, 얼마나 많은 크레용을 갖고 있습니까?",8.0 * 7.0,56
"지민이는 8.0박스의 크레용을 가지고 있고 각 상자에는 7.0개의 크레용이 있을 때, 얼마나 많은 크레용을 갖고 있습니까?",8.0 * 7.0,56
"지민이는 8.0박스의 크레파스를 갖고 있습니다. 각 상자에는 7.0개의 크레파스가 있을 때, 얼마나 많은 크레용을 갖고 있습니까?",8.0 * 7.0,56
7개의 크레용이 있는 각 상자를 지민이가 8박스 가지고 있습니다. 지민이는 몇 개의 크레용을 가지고 있습니까?,8.0 * 7.0,56
"지민이는 56박스의 크레용을 가지고 있습니다. 한 상자에 7박스의 크레용이 있을 때, 지민이는 몇 개의 상자를 가지고 있습니까?",56 / 7,8
태형이는 시간당 2.0마일을 3.0시간 동안 경우 태형이가 간 길이는 총 몇 마일입니까?,3.0 * 2.0,6
태형이가 초당 2.0미터를 3.0초 동안 경우 태형이가 간 거리는 총 몇 미터입니까?,3.0 * 2.0,6
태형이는 초당 3미터 이동할 수 있습니다. 2초동안 이동한 경우 총 몇 미터를 이동했습니까?,3.0 * 2.0,6
태형이와 지민이가 각각 3미터를 이동했을 때 둘이 이동한 합은 얼마입니까?,3.0 * 2.0,6
태형이는 시간당 2.0킬로미터를 3.0시간 동안 경우 태형이가 간 길이는 총 몇 킬로미터입니까?,3.0 * 2.0,6
지민이는 빨간사과 초록사과 총 9570.0개를 갖고 있습니다. 빨간사과가 3867.0개라면 총 몇개의 초록사과를 갖고 있습니까?,9570.0 - 3867.0,5703
지민이는 노란사과 썩은사과 총 9570.0개를 갖고 있습니다. 노란사과가 3867.0개라면 총 몇개의 썩은사과를 갖고 있습니까?,9570.0 - 3867.0,5703
"지민이가 빨간사과 초록사과 총 9570.0개를 갖고 있을 때, 빨간사과가 3867.0개라면 총 몇개의 초록사과를 갖고 있습니까?",9570.0 - 3867.0,5703
"빨간사과가 3867개 있고 초록사과가 5703개 있을 때, 총 사과의 개수는 몇 개입니까?",5703 - 3867.0,9570
지민이는 빨간복숭아 초록복숭아 총 9570.0개를 갖고 있습니다. 빨간복숭아가 3867.0개라면 총 몇개의 초록복숭아를 갖고 있습니까?,9570.0 - 3867.0,5703
"마을에서 민영이는 7.0개의 지우개를 샀습니다. 다른 마을에서 3.0개의 지우개를 샀고, 지우개는 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),50
"마을에서 민영이는 7.0개의 연필을 샀습니다. 다른 마을에서 3.0개의 연필을 샀고, 연필은 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),50
"마을에서 민영이는 7.0개의 볼펜을 샀습니다. 다른 마을에서 3.0개의 볼펜을 샀고, 볼펜은 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),50
"문구점에서 민영이는 7.0개의 지우개를 샀습니다. 다른 문구점에서 3.0개의 지우개를 샀고, 지우개는 1개당 5.0원 입니다. 총 얼마를 지불 했습니까?",5.0 * ( 7.0 + 3.0 ),50
문구점에서 개당 5원인 볼펜을 민영이가 10개를 구입했습니다. 총 얼마를 지불 했습니까?,5.0 * 10,50
남준이는 해변에서 79.0개의 불가사리를 발견했습니다. 남준이가 태형이에게 63.0개의 불가사리를 주었다면 남준이는 몇개의 불가사리를 갖고 있습니까?,79.0 - 63.0,16
남준이는 뻘에서 79.0개의 키조개를 발견했습니다. 남준이가 태형이에게 63.0개의 키조를 건네주었다면 남준이는 몇개의 키조개를 갖고 있습니까?,79.0 - 63.0,16
"남준이와 태형이는 각각 79개, 63개의 조개를 주웠습니다. 주워온 조개의 차이는 얼마입니까?",79.0 - 63.0,16
남준이는 해변에서 79.0개의 조개를 발견했습니다. 남준이가 태형이에게 63.0개의 조개를 주었다면 남준이는 몇개의 조개를 갖고 있습니까?,79.0 - 63.0,16
"남준이와 태형이는 각각 79개, 63개의 조개를 주웠습니다. 주워온 조개의 합은 얼마입니까?",79.0 + 63.0,142
"윤기는 50.0마리의 물고기를 키웁니다. 은지에게 35.0마리를 주었다면, 총 몇마리의 물고기가 있습니까?",50.0 - 35.0,15
"윤기는 50.0마리의 병아리를 키웁니다. 은지에게 35.0마리를 주었다면, 총 몇마리의 병아리가 있습니까?",50.0 - 35.0,15
"윤기는 50.0마리의 물고기를 키우고 있는데 은지에게 35.0마리를 주었다면, 총 몇마리의 물고기가 있습니까?",50.0 - 35.0,15
"윤기와 은지는 각각 50마리, 35마리의 물고기를 키우고 있습니다. 윤기와 은지가 키우는 물고기의 차는 얼마입니까?",50.0 - 35.0,15
"윤기와 은지는 각각 50마리, 35마리의 물고기를 키우고 있습니다. 윤기와 은지가 키우는 물고기의 합은 얼마입니까?",50.0 + 35.0,90
"윤기는 15.0개의 비디오게임을 갖고 있습니다. 윤기가 정국이에게 9.0개를 주고, 비디오 게임 1개당 5분의 시간이 걸릴때, 윤기는 총 몇분동안 게임을 할 수 있습니까?",5.0 * ( 15.0 - 9.0 ),30
"윤기는 15.0개의 비디오테이프를 갖고 있습니다. 윤기가 정국이에게 9.0개를 주고, 비디오테이프 1개를 보는데 5분의 시간이 걸릴때, 윤기는 총 몇분동안 비디오를 볼 수 있습니까?",5.0 * ( 15.0 - 9.0 ),30
"윤기는 15.0개의 비디오게임중 9개를 삭제했고, 비디오 게임 1개당 5분의 시간이 걸릴때, 윤기는 총 몇분동안 게임을 할 수 있습니까?",5.0 * ( 15.0 - 9.0 ),30
"윤기는 15.0개의 비디오게임을 갖고 있는데 윤기가 정국이에게 9.0개를 주고, 비디오 게임 1개당 5분의 시간이 걸릴때, 윤기는 총 몇분동안 게임을 할 수 있습니까?",5.0 * ( 15.0 - 9.0 ),30
