Question,Equation,Answer,fold,Numbers,Names
name0와 name1이는 똑같은 name2를 number0병씩 가지고 있습니다. name3는 전체의 number1만큼 마셨고 name4이는 전체의 number2만큼 마셨습니다. 누가 name5를 더 많이 남겼는지 구하세요.,'name0' if 4 / 5 < 6 / 7 else 'name1',윤기,1,1 4/5 6/7 ,윤기 지민 우유 
"길이가 number0cm인 철사를 사용하여 정사각형 number1개를 만들었습니다. 남은 철사가 number2cm일때, 만든 정사각형의 한 변은 몇 cm입니까?",( number0 - number2 ) / 4,10,8,52 1 12 ,
name0이와 name1이가 가위바위보를 하는데 number0 다 가위를 냈다. 펼친 손가락은 몇 개인가?,number0 * number0,4,5,2 ,호석 석진 
name0네 과수원에 복숭아 나name1는 number0그루가 있고 name2나name3는 number1그루가 있을 때 전체 나name4는 몇 그루가 있습니까?,number0 + number1,593,9,378 215 ,윤기 사과 무 
마당에 참새가 number0마리 있었는데 잠시 후 number1마리가 날아갔습니다. 마당에 남아있는 참새는 몇 마리일까요?,number0 - number1,24,9,40 16 ,
"name0는 number0개의 조개를 발견했고 number1개의 조개를 버렸을 때, 얼마나 많은 조개를 갖고 있습니까?",number0 - number1,18,7,35.0 17.0 ,윤기 
"name0박스 number0개 중 number1개를 동생들이 가지고, 각 name1박스에는 number2개의 name2가 들어있습니다. 총 name3의 갯수는 몇 개 입니까?",number2 * ( number0 - number1 ),12,7,9.0 3.0 2.0 ,사과 
name0이는 은행 계좌에 number0달러를 가지고 있습니다. 매월 그녀는 number1달러를 사용합니다. name1이가 number2개월 이후 갖고 있는 돈은 얼마입니까?,number0 - number1 * number2,13000,1,25000.0 1500.0 8.0 ,지민 
"name0를 포장하는데 아침에는 number0개, 저녁에는 number1개 포장했다면 오늘 몇 개의 name1를 포장했을까요?",874 + number1,1368,9,878 494 ,과자 
연필 number0타 중 number1자루를 팔았다고 한다. 남아있는 연필은 모두 몇 자루인지 구하시오.,( 12 * number0 ) - number1,9,1,3 27 ,
"name0에 number0명이 타고 있었습니다. 슈퍼마켓 앞에서 number1명이 내리고, 우체국 앞에서 number2명이 내렸습니다. name1에 남은 사람은 몇 명일가요?",number0 - number1 - number2,2,8,7 2 3 ,버스 
"자연수 name0가 있습니다. 'number0 * number1 < name1 < number2 * number3'일 때, 가능한 name2의 개수를 구하시오.","len( [ i for i in range( math.floor( number0 * number1 ) , math.ceil( number2 * number3 ) ) ] )",6,2,7 2.3 0.9 24 ,A 
꽃 number0송이가 심겨진 화분 number1개가 있다. 꽃은 모두 몇 송이인가?,number0 * number1,186,8,6 31 ,
"name0은 한 봉지에 number0개씩 들어있고 name1는 한 봉지에 number1개씩 들어있습니다. name2은 number2봉지, name3는 number3봉지가 있다면 더 많은 것은 name4엇인가?",'name0' if number0 * number2 > number1 * number3 else 'name1',과자,4,37 28 6 8 ,사탕 과자 무 
"number0개의 수 number1, number2, number3, number4가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number1 , number2 , number3 , number4 ) + min( number1 , number2 , number3 , number4 )",1101,8,4 176 785 167 934 ,
name0이는 처음에 number0원을 가지고 있다가 number1원짜리 name1을 number2 사먹었고 어머니께 용돈 number3원을 받았습니다. name2이는 number4원을 가지고 있었습니다. name3이가 지금 가지고 있는 돈은 얼마입니까?,number0 - number1 + number3,700,2,500 150 1 350 100 ,정국 유정 사탕 
선물 number0를 포장하는 데 number1cm의 빨간 리본이 필요하고 number2cm의 노란 리본이 필요합니다. 빨간 리본은 노란 리본보다 몇 cm 더 필요합니까?,number1 - number2,248,6,1 434 186 ,
"화단을 똑같이 number0부분으로 나누고 화단의 number1에는 장미를, number2에는 튤립을 심었습니다. 마지막으로 화단의 나머지 부분에는 카네이션을 심었습니다. 카네이션을 심은 부분은 전체의 얼마인지 소수로 나타내시오.",1 - ( ( 5 / number0 ) + number2 ),0.2,1,10 5/10 0.3 ,
"name0반의  학생 수는 number0명이었다. 전학을 간 학생은 number1명, 전학을 온 학생은 number2명이라고 한다. name1반 총 학생 수로 옳은 답은 어느 것입니까?",number0 - number1 + number2,65,2,79 57 43 ,남준 
"한 상자에는 name0이 number0개 들어있는데, number1개의 상자 안에 있는 name1은 모두 몇 개일까요?",number0 * number1,5742,8,87 66 ,라면 
"name0/number0 의 몫이 number1이고 나머지는 name1일때, name2에 들어갈 수 있는 수 중에서 가장 큰 수를 구하시오.",number0 * number1 + 38,155,7,39 3 ,A B 
name0이의 생일 파티에 number0개의 카드와 number1개의 편지가 있습니다. 하루에 number2개식 사용할 때 몇 일동안 사용할 수 있습니까?,( number0 + number1 ) / number2,8,1,4.0 44.0 6.0 ,정국 
"name0는 number0개의 풍선, name1는 number1개의 풍선을 갖고 있습니다. name2이는 number2개의 name3 풍선을 갖고 있을 때, 총 풍선 갯수는 몇 개 입니까?",number0 + number1 + number2,18,7,5.0 6.0 7.0 ,유나 유정 윤기 노란색 
"name0이는 우표를 number0장씩 number1묶음, number2장씩 number3묶음 낱개로 number4장 가지고 있습니다. name1이가 가지고 있는 우표는 모두 몇 장인가?",number0 * number1 + number2 * number3 + number4,825,6,100 8 10 2 5 ,남준 
